congbio_id,candidate_id,congbio_name,congbio_birthyear,congbio_deathyear,congbio_url
A000003,AJ0029,"Abbot, Joel",1776,1826,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000003
A000026,AJ0047,"Adair, John",1757,1840,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000026
A000030,AB0010,"Adams, Benjamin",1764,1837,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000030
A000038,AJ0206,"Adams, John",1778,1854,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000038
A000041,AJ0043,"Adams, John Quincy",1767,1848,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000041
A000042,AP0018,"Adams, Parmenio",1776,1832,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000042
A000053,AW0109,"Addams, William",1777,1858,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000053
A000056,AA0060,"Adgate, Asa",1767,1832,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000056
A000089,AA0061,"Alexander, Adam Rankin",1781,1848,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000089
A000092,AE0024,"Alexander, Evan Shelby",1767,1809,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000092
A000096,AJ0239,"Alexander, John",1777,1848,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000096
A000099,AM0013,"Alexander, Mark",1792,1883,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000099
A000100,AN0006,"Alexander, Nathaniel",1756,1808,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000100
A000122,AH0032,"Allen, Heman (Of Colchester)",1779,1852,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000122
A000129,AJ0028,"Allen, John",1763,1812,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000129
A000136,AJ0113,"Allen, Joseph",1749,1827,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000136
