meae_id,election_id,candidate,candidate_id,district,party,vote,total_vote,percent_vote,winner,unopposed
meae.congressional.congress01.nj.county,nj.uscongress.1789,James Schureman,SJ0522,At-large,Federalist,13871,69598,0.199,TRUE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,Lambert Cadwallader,CL0010,At-large,Federalist,9051,69598,0.13,TRUE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,Elias Boudinot,BE0179,At-large,Federalist,8702,69598,0.125,TRUE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,Thomas Sinnickson,ST0147,At-large,Federalist,8364,69598,0.12,TRUE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,Abraham Clark,CA0071,At-large,Federalist,7287,69598,0.105,FALSE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,Jonathan Dayton,DJ0209,At-large,Federalist,6859,69598,0.099,FALSE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,Robert Hoops,HR0098,At-large,NA,2562,69598,0.037,FALSE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,Whitten Cripps,CW0159,At-large,NA,2375,69598,0.034,FALSE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,Benjamin Van Cleve,VB0016,At-large,NA,1983,69598,0.028,FALSE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,James Parker,PJ0264,At-large,Anti-Federalist,1724,69598,0.025,FALSE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,John Witherspoon,WJ0338,At-large,NA,1711,69598,0.025,FALSE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,Thomas Henderson,HT0100,At-large,Federalist,1156,69598,0.017,FALSE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,Robert L. Hooper,HR0099,At-large,NA,964,69598,0.014,FALSE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,Josiah Hornblower,HJ0383,At-large,NA,708,69598,0.01,FALSE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,James Linn,LJ0151,At-large,NA,515,69598,0.007,FALSE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,Aaron Kitchel,KA0023,At-large,NA,396,69598,0.006,FALSE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,"John Stevens, Jr.",SJ0741,At-large,NA,258,69598,0.004,FALSE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,William Winds,WW0298,At-large,NA,230,69598,0.003,FALSE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,John Stevens,SJ0729,At-large,NA,184,69598,0.003,FALSE,FALSE
meae.congressional.congress01.nj.county,nj.uscongress.1789,John Fell,FJ0209,At-large,NA,137,69598,0.002,FALSE,FALSE
