meae_id,election_id,candidate,candidate_id,district,party,vote,total_vote,percent_vote,winner,unopposed
meae.congressional.congress08.ky.county,ky.uscongress1.1803,Matthew Lyon,LM0053,1,Democratic-Republican,2472,4845,0.51,TRUE,FALSE
meae.congressional.congress08.ky.county,ky.uscongress1.1803,David Walker,WD0004,1,Democratic-Republican,2373,4845,0.49,FALSE,FALSE
meae.congressional.congress08.ky.county,ky.uscongress2.1803,John Boyle,BJ0201,2,Democratic-Republican,NA,0,NA,TRUE,TRUE
meae.congressional.congress08.ky.county,ky.uscongress3.1803,Matthew Walton,WM0023,3,Democratic-Republican,NA,0,NA,TRUE,TRUE
meae.congressional.congress08.ky.county,ky.uscongress4.1803,Thomas Sandford,ST0052,4,Democratic-Republican,2333,5398,0.432,TRUE,FALSE
meae.congressional.congress08.ky.county,ky.uscongress4.1803,William Henry,HW0084,4,Democratic-Republican,1482,5398,0.275,FALSE,FALSE
meae.congressional.congress08.ky.county,ky.uscongress4.1803,Richard M. Johnson,JR0007,4,Democratic-Republican,1345,5398,0.249,FALSE,FALSE
meae.congressional.congress08.ky.county,ky.uscongress4.1803,Joseph H. Daveiss,DJ0080,4,Federalist,238,5398,0.044,FALSE,FALSE
meae.congressional.congress08.ky.county,ky.uscongress5.1803,John Fowler,FJ0047,5,Democratic-Republican,NA,0,NA,TRUE,TRUE
meae.congressional.congress08.ky.county,ky.uscongress6.1803,George M. Bedinger,BG0011,6,Democratic-Republican,2539,4394,0.578,TRUE,FALSE
meae.congressional.congress08.ky.county,ky.uscongress6.1803,Philemon Thomas,TP0004,6,Democratic-Republican,1407,4394,0.32,FALSE,FALSE
meae.congressional.congress08.ky.county,ky.uscongress6.1803,George Culp,CG0036,6,Democratic-Republican,448,4394,0.102,FALSE,FALSE
