meae_id,election_id,candidate,candidate_id,district,party,vote,total_vote,percent_vote,winner,unopposed
meae.congressional.congress16.va.county,va.uscongress.1.1819,James Pindall,PJ0569,1,Federalist,NA,0,NA,TRUE,FALSE
meae.congressional.congress16.va.county,va.uscongress.1.1819,William MacKinley,MW0394,1,Democratic-Republican,NA,0,NA,FALSE,FALSE
meae.congressional.congress16.va.county,va.uscongress.10.1819,George F. Strother,SG0190,10,Democratic-Republican,581,1131,0.514,TRUE,FALSE
meae.congressional.congress16.va.county,va.uscongress.10.1819,John Shackleford,SJ1433,10,Federalist,541,1131,0.478,FALSE,FALSE
meae.congressional.congress16.va.county,va.uscongress.10.1819,John Wharton,WJ1040,10,Democratic-Republican,9,1131,0.008,FALSE,FALSE
meae.congressional.congress16.va.county,va.uscongress.11.1819,Philip P. Barbour,BP0115,11,Democratic-Republican,NA,0,NA,TRUE,TRUE
meae.congressional.congress16.va.county,va.uscongress.12.1819,Robert S. Garnett,GR0068,12,Democratic-Republican,NA,0,NA,TRUE,TRUE
meae.congressional.congress16.va.county,va.uscongress.13.1819,Severen E. Parker,PS0152,13,Democratic-Republican,NA,0,NA,TRUE,FALSE
meae.congressional.congress16.va.county,va.uscongress.13.1819,John Drury,DJ0062,13,NA,NA,0,NA,FALSE,FALSE
meae.congressional.congress16.va.county,va.uscongress.14.1819,William A. Burwell,BW0451,14,Democratic-Republican,NA,0,NA,TRUE,TRUE
meae.congressional.congress16.va.county,va.uscongress.15.1819,George Tucker,TG0062,15,Democratic-Republican,1221,1692,0.722,TRUE,FALSE
meae.congressional.congress16.va.county,va.uscongress.15.1819,John Kerr,KJ0364,15,Democratic-Republican,471,1692,0.278,FALSE,FALSE
meae.congressional.congress16.va.county,va.uscongress.16.1819,John Randolph,RJ0610,16,Democratic-Republican,681,934,0.729,TRUE,FALSE
meae.congressional.congress16.va.county,va.uscongress.16.1819,Archibald Austin,AA0056,16,Democratic-Republican,253,934,0.271,FALSE,FALSE
meae.congressional.congress16.va.county,va.uscongress.17.1819,James Pleasants,PJ0579,17,Democratic-Republican,NA,0,NA,TRUE,TRUE
meae.congressional.congress16.va.county,va.uscongress.18.1819,Mark Alexander,AM0013,18,Democratic-Republican,613,1102,0.556,TRUE,FALSE
meae.congressional.congress16.va.county,va.uscongress.18.1819,Theo Field,FT0091,18,Democratic-Republican,290,1102,0.263,FALSE,FALSE
meae.congressional.congress16.va.county,va.uscongress.18.1819,James Wyche,WJ1041,18,Democratic-Republican,199,1102,0.181,FALSE,FALSE
meae.congressional.congress16.va.county,va.uscongress.19.1819,James Jones,JJ0276,19,Democratic-Republican,NA,0,NA,TRUE,FALSE
meae.congressional.congress16.va.county,va.uscongress.19.1819,John Pegram,PJ0565,19,Democratic-Republican,NA,0,NA,FALSE,FALSE
meae.congressional.congress16.va.county,va.uscongress.2.1819,Thomas Van Swearingen,VT0017,2,Federalist,810,1454,0.557,TRUE,FALSE
meae.congressional.congress16.va.county,va.uscongress.2.1819,Edward Colston,CE0182,2,Federalist,644,1454,0.443,FALSE,FALSE
meae.congressional.congress16.va.county,va.uscongress.20.1819,James Johnson,JJ0282,20,Democratic-Republican,1559,1559,1,TRUE,TRUE
meae.congressional.congress16.va.county,va.uscongress.21.1819,Thomas Newton,NT0024,21,Democratic-Republican,NA,0,NA,TRUE,TRUE
meae.congressional.congress16.va.county,va.uscongress.22.1819,Hugh Nelson,NH0015,22,Democratic-Republican,NA,0,NA,TRUE,TRUE
meae.congressional.congress16.va.county,va.uscongress.23.1819,John Tyler,TJ0537,23,Democratic-Republican,NA,0,NA,TRUE,TRUE
meae.congressional.congress16.va.county,va.uscongress.3.1819,Jared Williams,WJ1022,3,Democratic-Republican,839,1228,0.683,TRUE,FALSE
meae.congressional.congress16.va.county,va.uscongress.3.1819,John Smith,SJ1530,3,Democratic-Republican,389,1228,0.317,FALSE,FALSE
meae.congressional.congress16.va.county,va.uscongress.4.1819,William MacCoy,MW0392,4,Democratic-Republican,NA,0,NA,TRUE,TRUE
meae.congressional.congress16.va.county,va.uscongress.5.1819,John Floyd,FJ0482,5,Democratic-Republican,NA,0,NA,TRUE,TRUE
meae.congressional.congress16.va.county,va.uscongress.6.1819,Alexander Smyth,SA0299,6,Democratic-Republican,NA,0,NA,TRUE,TRUE
meae.congressional.congress16.va.county,va.uscongress.7.1819,Ballard Smith,SB0133,7,Democratic-Republican,NA,0,NA,TRUE,TRUE
meae.congressional.congress16.va.county,va.uscongress.8.1819,Charles F. Mercer,MC0088,8,Federalist,NA,0,NA,TRUE,TRUE
meae.congressional.congress16.va.county,va.uscongress.9.1819,William Lee Ball,BW0447,9,Democratic-Republican,639,1197,0.534,TRUE,FALSE
meae.congressional.congress16.va.county,va.uscongress.9.1819,John P. Hungerford,HJ1310,9,Federalist,558,1197,0.466,FALSE,FALSE
