meae_id,election_id,candidate,candidate_id,district,party,vote,total_vote,percent_vote,winner,unopposed
meae.congressional.congress18.oh.county,oh.uscongress1.1822,James W. Gazlay,GJ0367,1,Jacksonian,3176,6010,0.528,TRUE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress1.1822,William H. Harrison,HW0286,1,Adams/Clay,2834,6010,0.472,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress10.1822,John Patterson,PJ0401,10,Adams/Clay,2205,4105,0.537,TRUE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress10.1822,Charles Hammond,HC0091,10,Federalist,1900,4105,0.463,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress11.1822,John C. Wright,WJ0569,11,Adams/Clay,2202,3770,0.584,TRUE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress11.1822,John MacLaughlin,MJ0639,11,NA,1566,3770,0.415,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress11.1822,John Kimmel,KJ0093,11,NA,2,3770,0.001,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress12.1822,John Sloan,SJ0866,12,Adams/Clay,4453,4504,0.989,TRUE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress12.1822,George M. Crane,CG0092,12,NA,51,4504,0.011,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress13.1822,Elisha Whittlesey,WE0121,13,Adams/Clay,1785,4782,0.373,TRUE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress13.1822,Eli Baldwin,BE0250,13,NA,1719,4782,0.359,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress13.1822,Nehemiah King,KN0011,13,NA,545,4782,0.114,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress13.1822,Samuel W. Phelps,PS0071,13,NA,521,4782,0.109,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress13.1822,Adamson Bentley,BA0182,13,NA,207,4782,0.043,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress13.1822,Simeon Perkins,PS0043,13,NA,1,4782,0,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress13.1822,scattering,NA,13,NA,4,4782,0.001,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress14.1822,Mordecai Bartley,BM0087,14,Adams/Clay,2035,3663,0.556,TRUE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress14.1822,Alfred Kelley,KA0057,14,NA,1628,3663,0.444,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress2.1822,Thomas R. Ross,RT0081,2,Republican Faction,3104,3104,1,TRUE,TRUE
meae.congressional.congress18.oh.county,oh.uscongress3.1822,William MacLean,MW0279,3,Adams/Clay,1350,4687,0.288,TRUE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress3.1822,Joseph H. Crane,CJ0604,3,NA,1230,4687,0.262,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress3.1822,William Blodget,BW0263,3,NA,679,4687,0.145,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress3.1822,Joseph L. Hawkins,HJ0724,3,NA,608,4687,0.13,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress3.1822,Fielding Lowry,LF0011,3,NA,465,4687,0.099,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress3.1822,John Houtz,HJ0258,3,NA,350,4687,0.075,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress3.1822,Joseph Hawkins,HJ0329,3,NA,5,4687,0.001,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress4.1822,Joseph Vance,VJ0083,4,Adams/Clay,NA,0,NA,TRUE,TRUE
meae.congressional.congress18.oh.county,oh.uscongress5.1822,John W. Campbell,CJ0622,5,Jacksonian,NA,0,NA,TRUE,TRUE
meae.congressional.congress18.oh.county,oh.uscongress6.1822,Duncan MacArthur,MD0142,6,Adams/Clay,1331,4807,0.277,TRUE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress6.1822,Henry Brush,BH0091,6,Democratic-Republican,922,4807,0.192,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress6.1822,Edward King,KE0035,6,NA,829,4807,0.172,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress6.1822,Caleb Atwater,AC0021,6,NA,785,4807,0.163,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress6.1822,Richard Douglass,DR0039,6,NA,583,4807,0.121,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress6.1822,Thomas Scott,ST0206,6,NA,357,4807,0.074,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress7.1822,Samuel F. Vinton,VS0017,7,Adams/Clay,NA,0,NA,TRUE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress7.1822,Levi Barber,BL0052,7,Democratic-Republican,NA,0,NA,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress7.1822,Robert Lucas,LR0031,7,Democratic-Republican,NA,0,NA,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress8.1822,William Wilson,WW0209,8,Republican Faction,3059,6281,0.487,TRUE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress8.1822,Orris Parish,PO0021,8,NA,1451,6281,0.231,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress8.1822,James Kilbourn,KJ0144,8,NA,980,6281,0.156,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress8.1822,Daniel S. Norton,ND0025,8,NA,619,6281,0.099,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress8.1822,William Stanbery,SW0192,8,NA,150,6281,0.024,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress8.1822,William Gavit,GW0115,8,NA,22,6281,0.004,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress9.1822,Philemon Beecher,BP0045,9,Adams/Clay,1996,5310,0.376,TRUE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress9.1822,David Chambers,CD0147,9,Democratic-Republican,1820,5310,0.343,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress9.1822,Samuel Sullivan,SS0242,9,NA,956,5310,0.18,FALSE,FALSE
meae.congressional.congress18.oh.county,oh.uscongress9.1822,William Trimble,TW0085,9,Democratic-Republican,538,5310,0.101,FALSE,FALSE
