meae_id,election_id,candidate,candidate_id,district,party,vote,total_vote,percent_vote,winner,unopposed
meae.congressional.congress01.ct.county,ct.congress.1790,Roger Sherman,SR0003,At-large,NA,2969,19890,0.149,TRUE,FALSE
meae.congressional.congress01.ct.county,ct.congress.1790,Pierpont Edwards,EP0001,At-large,NA,2239,19890,0.113,TRUE,FALSE
meae.congressional.congress01.ct.county,ct.congress.1790,James Hillhouse,HJ0008,At-large,Federalist,2035,19890,0.102,TRUE,FALSE
meae.congressional.congress01.ct.county,ct.congress.1790,Jonathan Sturges,SJ0011,At-large,NA,1730,19890,0.087,TRUE,FALSE
meae.congressional.congress01.ct.county,ct.congress.1790,Jonathan Trumbull,TJ0010,At-large,Federalist,1720,19890,0.086,TRUE,FALSE
meae.congressional.congress01.ct.county,ct.congress.1790,Tapping Reeve,RT0001,At-large,Federalist,1672,19890,0.084,FALSE,FALSE
meae.congressional.congress01.ct.county,ct.congress.1790,Jeremiah Wadsworth,WJ0011,At-large,NA,1658,19890,0.083,FALSE,FALSE
meae.congressional.congress01.ct.county,ct.congress.1790,Amasa Learned,LA0001,At-large,NA,1463,19890,0.074,FALSE,FALSE
meae.congressional.congress01.ct.county,ct.congress.1790,Stephen M. Mitchell,MS0000,At-large,NA,1435,19890,0.072,FALSE,FALSE
meae.congressional.congress01.ct.county,ct.congress.1790,Benjamin Huntington,HB0005,At-large,NA,1372,19890,0.069,FALSE,FALSE
meae.congressional.congress01.ct.county,ct.congress.1790,John Chester,CJ0014,At-large,NA,811,19890,0.041,FALSE,FALSE
meae.congressional.congress01.ct.county,ct.congress.1790,James Davenport,DJ0006,At-large,NA,786,19890,0.04,FALSE,FALSE
meae.congressional.congress01.de.county,de.uscongress.1789,John Vining,VJ0002,At-large,NA,898,2059,0.436,TRUE,FALSE
meae.congressional.congress01.de.county,de.uscongress.1789,Rhoads Shankland,SR0023,At-large,NA,491,2059,0.238,FALSE,FALSE
meae.congressional.congress01.de.county,de.uscongress.1789,"Gunning Bedford, Jr.",BG0002,At-large,NA,308,2059,0.15,FALSE,FALSE
meae.congressional.congress01.de.county,de.uscongress.1789,Joshua Clayton,CJ0087,At-large,NA,272,2059,0.132,FALSE,FALSE
meae.congressional.congress01.de.county,de.uscongress.1789,Allen MacLean,MA0018,At-large,NA,90,2059,0.044,FALSE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.lowerdistrict.1789,James Jackson,JJ0004,1,NA,604,1187,0.509,TRUE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.lowerdistrict.1789,William Houston,HW0061,1,NA,399,1187,0.336,FALSE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.lowerdistrict.1789,Henry Osborne,OH0000,1,NA,172,1187,0.145,FALSE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.lowerdistrict.1789,James Seagrove,SJ0082,1,NA,7,1187,0.006,FALSE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.lowerdistrict.1789,scattering,NA,1,NA,5,1187,0.004,FALSE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.middledistrict.1789,Abraham Baldwin,BA0026,2,NA,1096,1584,0.692,TRUE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.middledistrict.1789,Henry Osborne,OH0000,2,NA,241,1584,0.152,FALSE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.middledistrict.1789,Joseph Sumner,SJ0083,2,NA,165,1584,0.104,FALSE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.middledistrict.1789,Isaac Briggs,BI0007,2,NA,42,1584,0.027,FALSE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.middledistrict.1789,William Houston,HW0061,2,NA,23,1584,0.015,FALSE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.middledistrict.1789,James Jackson,JJ0004,2,NA,9,1584,0.006,FALSE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.middledistrict.1789,scattering,NA,2,NA,8,1584,0.005,FALSE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.upperdistrict.1789,George Matthews,MG0009,3,NA,1158,1203,0.963,TRUE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.upperdistrict.1789,Henry Osborne,OH0000,3,NA,24,1203,0.02,FALSE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.upperdistrict.1789,Anthony Wayne,WA0009,3,NA,8,1203,0.007,FALSE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.upperdistrict.1789,Joseph Sumner,SJ0083,3,NA,5,1203,0.004,FALSE,FALSE
meae.congressional.congress01.ga.county,ga.uscongress.upperdistrict.1789,scattering,NA,3,NA,8,1203,0.007,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.1.1788,Fisher Ames,AF0004,1,Federalist,818,1613,0.507,TRUE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.1.1788,Samuel Adams,AS0022,1,Anti-Federalist,521,1613,0.323,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.1.1788,Samuel A. Otis,OS0005,1,Federalist,70,1613,0.043,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.1.1788,Charles Jarvis,JC0015,1,NA,45,1613,0.028,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.1.1788,"Benjamin Austin, Jr.",AB0013,1,NA,43,1613,0.027,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.1.1788,John Adams,AJ0030,1,NA,30,1613,0.019,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.1.1788,William Heath,HW0171,1,NA,28,1613,0.017,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.1.1788,Benjamin Lincoln,LB0025,1,Federalist,18,1613,0.011,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.1.1788,"James Bowdoin, Jr.",BJ0470,1,NA,12,1613,0.007,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.1.1788,John Sewell,SJ0467,1,NA,11,1613,0.007,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.1.1788,Oliver Wendell,WO0023,1,NA,7,1613,0.004,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.1.1788,Richard Cranch,CR0078,1,NA,4,1613,0.002,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.1.1788,Thomas Dawes,DT0015,1,NA,3,1613,0.002,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.1.1788,James Bowdoin,BJ0353,1,NA,2,1613,0.001,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.1.1788,John Read,RJ0542,1,NA,1,1613,0.001,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.2.ballot2.1789,Benjamin Goodhue,GB0015,2,Federalist,1491,2222,0.671,TRUE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.2.ballot2.1789,Jonathan Jackson,JJ0071,2,Federalist,724,2222,0.326,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.2.ballot2.1789,Samuel Holten,HS0071,2,NA,3,2222,0.001,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.2.ballot2.1789,Daniel Killborn,KD0015,2,NA,3,2222,0.001,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.2.ballot2.1789,Nathan Dana,DN0011,2,Federalist,1,2222,0,FALSE,FALSE
meae.congressional.congress01.ma.county,ma.uscongress.3.ballot2.1789,Elbridge Gerry,GE0049,3,Anti-Federalist,1140,1867,0.611,TRUE,FALSE
