meae_id,election_id,candidate,candidate_id,district,party,vote,total_vote,percent_vote,winner,unopposed
meae.congressional.congress07.ny.county,ny.uscongress1.1800,John Smith,SJ0689,1,Democratic-Republican,2268,4153,0.546,TRUE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress1.1800,Silas Wood,WS0084,1,Federalist,1874,4153,0.451,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress1.1800,William Denning,DW0080,1,Democratic-Republican,2,4153,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress1.1800,Benjamin Hunting,HB0116,1,Democratic-Republican,2,4153,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress1.1800,Ebenezer Purdy,PE0055,1,Democratic-Republican,2,4153,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress1.1800,John I. Skidmore,SJ0669,1,Democratic-Republican,1,4153,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress1.1800,Abraham Montfort,MA0107,1,Democratic-Republican,1,4153,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress1.1800,Joseph Pettit,PJ0298,1,Democratic-Republican,1,4153,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress1.1800,Johah Hallet,HJ0511,1,Democratic-Republican,1,4153,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress1.1800,Selah Strong,SS0176,1,Federalist,1,4153,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Thomas Morris,MT0003,10,Federalist,3266,6071,0.538,TRUE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,William Stuart,SW0043,10,Democratic-Republican,2377,6071,0.392,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,John Patterson,PJ0208,10,Democratic-Republican,264,6071,0.043,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Jediah Sanger,SJ0678,10,Federalist,53,6071,0.009,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,"Robert Roseboom, Sr.",RR0035,10,Democratic-Republican,55,6071,0.009,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Benjamin Walker,WB0005,10,Federalist,13,6071,0.002,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Robert Morris,MR0058,10,NA,9,6071,0.001,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Edward Edwards,EE0031,10,Federalist,6,6071,0.001,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Francis Henry,HF0029,10,Federalist,5,6071,0.001,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Comfort Tyler,TC0040,10,Federalist,4,6071,0.001,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Samuel Tinckham,TS0003,10,NA,2,6071,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Silas Halsey,HS0138,10,Democratic-Republican,2,6071,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,William Cooper,CW0154,10,Federalist,2,6071,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Jabez Eaker,EJ0036,10,NA,2,6071,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Asa Danforth,DA0049,10,Democratic-Republican,2,6071,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Moss Kent,KM0021,10,Federalist,1,6071,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,"John Williams, Jr.",WJ0127,10,NA,1,6071,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Joseph S. Sidney,SJ0128,10,NA,1,6071,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Nathaniel W. Howell,HN0037,10,Federalist,1,6071,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,"Ebenezer Butler, Jr.",BE0172,10,NA,1,6071,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,John Stewart,SJ0115,10,NA,1,6071,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,William H. Cuyler,CW0066,10,NA,1,6071,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Ezekiel Lyon,LE0007,10,NA,1,6071,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress10.1800,Jacob Morris,MJ0438,10,Federalist,1,6071,0,FALSE,FALSE
meae.congressional.congress07.ny.county,ny.uscongress2.1800,Samuel L. Mitchell,MS0108,2,Democratic-Republican,2180,4283,0.509,TRUE,FALSE
