meae_id,election_id,candidate,candidate_id,district,party,vote,total_vote,percent_vote,winner,unopposed
meae.congressional.congress18.al.county,al.uscongress.1.1823,Gabriel Moore,MG0000,1,Jacksonian,NA,0,NA,TRUE,TRUE
meae.congressional.congress18.al.county,al.uscongress.2.1823,John MacKee,MJ0013,2,Jacksonian,2135,8633,0.247,TRUE,FALSE
meae.congressional.congress18.al.county,al.uscongress.2.1823,Thomas Farrar,FT0000,2,NA,1869,8633,0.216,FALSE,FALSE
meae.congressional.congress18.al.county,al.uscongress.2.1823,Jesse W. Garth,GJ0004,2,NA,1694,8633,0.196,FALSE,FALSE
meae.congressional.congress18.al.county,al.uscongress.2.1823,Marmaduke Williams,WM0000,2,NA,1646,8633,0.191,FALSE,FALSE
meae.congressional.congress18.al.county,al.uscongress.2.1823,Sion L. Perry,PS0000,2,NA,686,8633,0.079,FALSE,FALSE
meae.congressional.congress18.al.county,al.uscongress.2.1823,John S. Fulton,FJ0001,2,NA,603,8633,0.07,FALSE,FALSE
meae.congressional.congress18.al.county,al.uscongress.3.1823,George W. Owen,OG0000,3,Jacksonian,NA,0,NA,TRUE,FALSE
meae.congressional.congress18.al.county,al.uscongress.3.1823,Arthur P. Bagby,BA0000,3,Adams/Clay,NA,0,NA,FALSE,FALSE
meae.congressional.congress18.al.county,al.uscongress.3.1823,Silas Dinsmoor,DS0001,3,NA,NA,0,NA,FALSE,FALSE
