meae_id,election_id,candidate,candidate_id,district,party,vote,total_vote,percent_vote,winner,unopposed
meae.congressional.congress15.pa.county,pa.uscongress1.1816,Adam Seybert,SA0219,1,Democratic-Republican,6054,45674,0.133,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress1.1816,William Anderson,AW0096,1,Democratic-Republican,6001,45674,0.131,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress1.1816,John Sergeant,SJ1073,1,Federalist,5414,45674,0.119,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress1.1816,Joseph Hopkinson,HJ0757,1,Federalist,5327,45674,0.117,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress1.1816,William Milnor,MW0326,1,Federalist,5305,45674,0.116,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress1.1816,Samuel Edwards,ES0034,1,Federalist,5259,45674,0.115,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress1.1816,Jacob Sommer,SJ1311,1,Republican Faction,3807,45674,0.083,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress1.1816,John Conard,CJ0812,1,Republican Faction,3516,45674,0.077,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress1.1816,William J. Duane,DW0162,1,Republican Faction,2744,45674,0.06,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress1.1816,Thomas Forrest,FT0063,1,Republican Faction,2247,45674,0.049,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress10.1816,William Wilson,WW0287,10,Democratic-Republican,6106,19353,0.316,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress10.1816,David Scott,SD0165,10,Democratic-Republican,5920,19353,0.306,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress10.1816,William F. Buyers,BW0340,10,Federalist,2781,19353,0.144,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress10.1816,George Kremer,KG0025,10,Democratic-Republican,1660,19353,0.086,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress10.1816,Rosewell Welles,WR0143,10,Federalist,1658,19353,0.086,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress10.1816,Charles Maus,MC0062,10,Federalist,667,19353,0.034,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress10.1816,Fressbak,NA,10,NA,386,19353,0.02,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress10.1816,Stees,NA,10,NA,143,19353,0.007,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress10.1816,Murry,NA,10,NA,32,19353,0.002,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress11.1816,David Marchand,MD0187,11,Democratic-Republican,2600,4924,0.528,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress11.1816,George Armstrong,AG0040,11,Federalist,2324,4924,0.472,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress12.1816,Thomas Patterson,PT0153,12,Democratic-Republican,1870,2201,0.85,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress12.1816,John Hughes,HJ1017,12,Federalist,275,2201,0.125,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress12.1816,scattering,NA,12,NA,56,2201,0.025,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress13.1816,Christian Tarr,TC0055,13,Democratic-Republican,1090,2986,0.365,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress13.1816,Presley Carr Lane,LP0039,13,Democratic-Republican,760,2986,0.255,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress13.1816,Henry Heaton,HH0067,13,Federalist,546,2986,0.183,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress13.1816,Thomas MacKibben,MT0180,13,Democratic-Republican,452,2986,0.151,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress13.1816,Thomas Hersey,HT0188,13,Democratic-Republican,138,2986,0.046,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress14.1816,Henry Baldwin,BH0142,14,Federalist,2139,3475,0.616,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress14.1816,Walter Lowrie,LW0173,14,Democratic-Republican,1336,3475,0.384,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress15.1816,Robert Moore,MR0144,15,Democratic-Republican,1723,3395,0.508,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress15.1816,William Clark,CW0272,15,Democratic-Republican,1641,3395,0.483,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress15.1816,William Clark,CW0272,15,Democratic-Republican,31,3395,0.009,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress15.1816,Thomas Wilson,WT0157,15,NA,NA,3395,NA,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress2.1816,Levi Pawling,PL0018,2,Federalist,5004,19657,0.255,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress2.1816,Isaac Darlington,DI0059,2,Federalist,4936,19657,0.251,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress2.1816,William Darlington,DW0154,2,Democratic-Republican,4929,19657,0.251,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress2.1816,John Hahn,HJ1003,2,Democratic-Republican,4788,19657,0.244,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress3.1816,John Whiteside,WJ0716,3,Democratic-Republican,4144,10505,0.394,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress3.1816,James M. Wallace,WJ0814,3,Democratic-Republican,4095,10505,0.39,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress3.1816,Amos Slaymaker,SA0189,3,Federalist,2266,10505,0.216,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress4.1816,Jacob Spangler,SJ1261,4,Democratic-Republican,1466,2230,0.657,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress4.1816,Jacob Hay,HJ1059,4,Federalist,764,2230,0.343,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress5.1816,William Maclay,MW0302,5,Democratic-Republican,4713,15227,0.31,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress5.1816,Andrew Boden,BA0228,5,Democratic-Republican,4233,15227,0.278,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress5.1816,James MacSherry,MJ0972,5,Federalist,3018,15227,0.198,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress5.1816,John MacClelland,MJ1110,5,Federalist,2760,15227,0.181,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress5.1816,William Crawford,CW0246,5,Democratic-Republican,503,15227,0.033,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress6.1816,John Ross,RJ0312,6,Republican Faction,5511,10850,0.508,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress6.1816,Samuel D. Ingham,IS0001,6,Republican Faction,5339,10850,0.492,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress7.1816,Joseph Hiester,HJ0793,7,Republican Faction,3420,4023,0.85,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress7.1816,"Charles Shoemaker, Jr.",SC0111,7,Republican Faction,314,4023,0.078,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress7.1816,Daniel Udree,UD0000,7,Republican Faction,289,4023,0.072,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress8.1816,Alexander Ogle,OA0029,8,Democratic-Republican,3143,3154,0.997,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress8.1816,John Fletcher,FJ0377,8,NA,11,3154,0.003,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress8.1816,scattering,NA,8,NA,NA,3154,NA,FALSE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress9.1816,William P. Maclay,MW0408,9,Democratic-Republican,NA,0,NA,TRUE,FALSE
meae.congressional.congress15.pa.county,pa.uscongress9.1816,James Banks,BJ1071,9,Democratic-Republican,NA,0,NA,FALSE,FALSE
