meae_id,election_id,candidate,candidate_id,district,party,vote,total_vote,percent_vote,winner,unopposed
meae.congressional.congress16.md.county,md.uscongress1.1818,Ralph Neale,NR0018,1,Federalist,1175,2953,0.398,TRUE,FALSE
meae.congressional.congress16.md.county,md.uscongress1.1818,Nicholas Stonestreet,SN0046,1,Federalist,1140,2953,0.386,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress1.1818,Henry G.S. Key,KH0019,1,Federalist,635,2953,0.215,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress1.1818,Francis Digges,DF0005,1,NA,1,2953,0,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress1.1818,James J. Neale,NJ0000,1,NA,1,2953,0,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress1.1818,Obediah Scroggin,SO0008,1,NA,1,2953,0,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress2.1818,Joseph Kent,KJ0034,2,Democratic-Republican,1485,2621,0.567,TRUE,FALSE
meae.congressional.congress16.md.county,md.uscongress2.1818,John C. Weems,WJ0206,2,Federalist,1136,2621,0.433,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress3.1818,Henry R. Warfield,WH0013,3,Federalist,2250,3804,0.591,TRUE,FALSE
meae.congressional.congress16.md.county,md.uscongress3.1818,George Peter,PG0031,3,Federalist,1554,3804,0.409,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress4.1818,Samuel Ringgold,RS0013,4,Democratic-Republican,3830,3920,0.977,TRUE,FALSE
meae.congressional.congress16.md.county,md.uscongress4.1818,Benjamin Galloway,GB0005,4,Federalist,84,3920,0.021,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress4.1818,James Breathed,BJ0050,4,NA,3,3920,0.001,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress4.1818,David Harry,HD0122,4,NA,1,3920,0,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress4.1818,"Samuel Hughes, Jr.",HS0068,4,NA,1,3920,0,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress4.1818,Levin Mills,ML0018,4,NA,1,3920,0,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress5.1818,Samuel Smith,SS0062,5,Democratic-Republican,7290,14504,0.503,TRUE,FALSE
meae.congressional.congress16.md.county,md.uscongress5.1818,Peter Little,LP0015,5,Democratic-Republican,7214,14504,0.497,TRUE,FALSE
meae.congressional.congress16.md.county,md.uscongress6.1818,Stevenson Archer,AS0013,6,Democratic-Republican,2566,4577,0.561,TRUE,FALSE
meae.congressional.congress16.md.county,md.uscongress6.1818,Philip Reed,RP0009,6,Federalist,2010,4577,0.439,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress6.1818,Philip Thomas,TP0016,6,NA,1,4577,0,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress7.1818,Thomas Culbreth,CT0095,7,Democratic-Republican,2057,2938,0.7,TRUE,FALSE
meae.congressional.congress16.md.county,md.uscongress7.1818,Robert Wright,WR0038,7,Democratic-Republican,881,2938,0.3,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress8.1818,Thomas Bayly,BT0056,8,Federalist,4580,4664,0.982,TRUE,FALSE
meae.congressional.congress16.md.county,md.uscongress8.1818,Charles Goldsborough,GC0057,8,Federalist,63,4664,0.014,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress8.1818,Noah Wheeler,WN0038,8,NA,16,4664,0.003,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress8.1818,Robert Griffith,GR0074,8,NA,2,4664,0,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress8.1818,Samuel Lecompte,LS0081,8,NA,2,4664,0,FALSE,FALSE
meae.congressional.congress16.md.county,md.uscongress8.1818,Littleton Dennis,DL0012,8,NA,1,4664,0,FALSE,FALSE
