meae_id,election_id,candidate,candidate_id,district,party,vote,total_vote,percent_vote,winner,unopposed
meae.congressional.congress17.nj.county,nj.uscongress.1820,Ephraim Bateman,BE0175,At-large,Democratic-Republican,4701,28828,0.163,TRUE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,George Holcombe,HG0047,At-large,Democratic-Republican,4319,28828,0.15,TRUE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,George Cassedy,CG0110,At-large,Democratic-Republican,4018,28828,0.139,TRUE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Samuel Swan,SS0156,At-large,Democratic-Republican,3974,28828,0.138,TRUE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,John Linn,LJ0197,At-large,Democratic-Republican,3487,28828,0.121,TRUE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,James Matlack,MJ0888,At-large,Democratic-Republican,3361,28828,0.117,TRUE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Lewis Condict,CL0013,At-large,Republican Faction,1608,28828,0.056,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,John Rutherford,RJ0608,At-large,Republican Faction,472,28828,0.016,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,James Parker,PJ0264,At-large,Republican Faction,417,28828,0.014,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Joseph MacIlvaine,MJ0436,At-large,Republican Faction,402,28828,0.014,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Samuel L. Southard,SS0165,At-large,Republican Faction,397,28828,0.014,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Joseph Hopkinson,HJ0994,At-large,Republican Faction,325,28828,0.011,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,John Frelinghuysen,FJ0154,At-large,Republican Faction,322,28828,0.011,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Joseph C. Hornblower,HJ0996,At-large,Republican Faction,159,28828,0.006,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Charles Kinsey,KC0008,At-large,Republican Faction,125,28828,0.004,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Thomas T. Kinney,KT0046,At-large,Republican Faction,113,28828,0.004,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Theodore Frelinghuysen,FT0037,At-large,Republican Faction,100,28828,0.003,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Richard Stockton,SR0121,At-large,Republican Faction,68,28828,0.002,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Charles Ewing,EC0012,At-large,Republican Faction,59,28828,0.002,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Aaron Ogden,OA0025,At-large,Federalist,48,28828,0.002,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Hedge Thompson,TH0015,At-large,NA,48,28828,0.002,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Lucius H. Stockton,SL0048,At-large,Federalist,43,28828,0.001,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Caleb Newbold,NC0011,At-large,Republican Faction,40,28828,0.001,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Samuel Matlack,MS0165,At-large,NA,31,28828,0.001,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Jeremiah J. Foster,FJ0376,At-large,NA,16,28828,0.001,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,"David Thompson, Jr.",TD0046,At-large,Republican Faction,14,28828,0,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Benjamin Bennett,BB0035,At-large,Republican Faction,12,28828,0,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,William Ten Eyck,TW0174,At-large,NA,12,28828,0,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Jesse Upson,UJ0021,At-large,Republican Faction,10,28828,0,FALSE,FALSE
meae.congressional.congress17.nj.county,nj.uscongress.1820,Bernard Smith,SB0049,At-large,Republican Faction,10,28828,0,FALSE,FALSE
