meae_id,county_ahcb,county_fips,districts,federalist_vote,federalist_percentage,antifederalist_vote,antifederalist_percentage,republican_vote,republican_percentage,other_vote,other_percentage,county_vote,county_source,checked_lam,checked_jfb
meae.congressional.congress01.ny.county,nys_albany,36001,"5, 6",504,0.487,530,0.513,NA,NA,NA,NA,1034,county,TRUE,
meae.congressional.congress01.ny.county,nys_clinton,36019,5,23,0.39,36,0.61,NA,NA,NA,NA,59,county,TRUE,
meae.congressional.congress01.ny.county,nys_columbia,36021,5,954,0.569,723,0.431,NA,NA,NA,NA,1677,county,TRUE,
meae.congressional.congress01.ny.county,nys_dutchess,36027,3,NA,0.504,NA,0.496,NA,NA,NA,NA,NA,district,TRUE,
meae.congressional.congress01.ny.county,nys_kings,36047,1,NA,0,NA,1,NA,NA,NA,NA,NA,district,TRUE,
meae.congressional.congress01.ny.county,nys_montgomery,36057,6,NA,0.455,NA,0.545,NA,NA,NA,NA,NA,district,TRUE,
meae.congressional.congress01.ny.county,nys_newyork,36061,2,2251,0.889,282,0.111,NA,NA,NA,NA,2533,county,TRUE,
meae.congressional.congress01.ny.county,nys_orange,36071,4,NA,0,NA,1,NA,NA,NA,NA,NA,district,TRUE,
meae.congressional.congress01.ny.county,nys_queens,36081,1,NA,0,NA,1,NA,NA,NA,NA,NA,district,TRUE,
meae.congressional.congress01.ny.county,nys_richmond,36085,1,NA,0,NA,1,NA,NA,NA,NA,NA,district,TRUE,
meae.congressional.congress01.ny.county,nys_suffolk,36103,1,NA,0,NA,1,NA,NA,NA,NA,NA,district,TRUE,
meae.congressional.congress01.ny.county,nys_ulster,36111,4,NA,0,NA,1,NA,NA,NA,NA,NA,district,TRUE,
meae.congressional.congress01.ny.county,nys_washington,36115,5,147,0.359,262,0.641,NA,NA,NA,NA,409,county,TRUE,
meae.congressional.congress01.ny.county,nys_westchester,36119,"2, 3",291,0.703,123,0.297,NA,NA,NA,NA,414,county,TRUE,
meae.congressional.congress01.ma.county,mas_barnstable,25001,5,0,0,NA,NA,NA,NA,150,1,150,county,TRUE,
meae.congressional.congress01.ma.county,mas_berkshire,25003,4,1293,0.938,8,0.006,NA,NA,78,0.057,1379,county,TRUE,
meae.congressional.congress01.ma.county,mas_bristol,25005,7,566,0.509,342,0.308,NA,NA,204,0.183,1112,county,TRUE,
meae.congressional.congress01.ma.county,mas_dukes,25007,7,NA,NA,NA,NA,NA,NA,60,1,60,county,TRUE,
meae.congressional.congress01.ma.county,mas_essex,25009,2,2216,0.997,NA,NA,NA,NA,6,0.003,2222,county,TRUE,
meae.congressional.congress01.ma.county,mas_hampshire,25015,4,3000,0.997,1,0,NA,NA,7,0.002,3008,county,TRUE,
