meae_id,county_ahcb,county_fips,districts,federalist_vote,federalist_percentage,antifederalist_vote,antifederalist_percentage,demrep_vote,demrep_percentage,chesapeake_vote,chesapeake_percentage,potomac_vote,potomac_percentage,repfac_vote,repfac_percentage,adamsclay_vote,adamsclay_percentage,jacksonian_vote,jacksonian_percentage,anticaucus_vote,anticaucus_percentage,caucus_vote,caucus_percentage,other_vote,other_percentage,county_source
meae.congressional.congress05.ma.county,mas_berkshire,25003,1,1054,0.416,NA,NA,1390,0.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,0.036,county
meae.congressional.congress05.ma.county,mas_barnstable,25001,5,564,0.914,NA,NA,33,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.032,county
meae.congressional.congress05.ma.county,mas_dukes,25007,5,42,0.467,NA,NA,48,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,county
meae.congressional.congress05.ma.county,mas_nantucket,25019,5,75,0.893,NA,NA,8,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.012,county
meae.congressional.congress05.ma.county,mes_hancock,23009,12,310,0.279,NA,NA,801,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.001,county
meae.congressional.congress05.ma.county,mes_washington,23029,12,4,0.015,NA,NA,271,0.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,county
meae.congressional.congress05.ma.county,mes_york,23031,14,480,0.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,0.204,county
meae.congressional.congress05.ma.county,mas_hampshire,25015,"1,2,3",2244,0.812,NA,NA,493,0.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0.01,county
meae.congressional.congress05.ma.county,mas_essex,25009,"10,11",960,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,0.09,county
meae.congressional.congress05.ma.county,mes_lincoln,23015,"12,13",1386,0.717,NA,NA,540,0.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.004,county
meae.congressional.congress05.ma.county,mes_cumberland,23005,"13,14",303,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0.119,county
meae.congressional.congress05.ma.county,mas_worcester,25027,"3,4,9",1669,0.737,NA,NA,537,0.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0.026,county
meae.congressional.congress05.ma.county,mas_plymouth,25023,"5,6",492,0.693,NA,NA,131,0.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,0.123,county
meae.congressional.congress05.ma.county,mas_bristol,25005,"5,7",1314,0.866,NA,NA,54,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,0.099,county
meae.congressional.congress05.ma.county,mas_norfolk,25021,"6,7,8",717,0.646,NA,NA,256,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,0.123,county
meae.congressional.congress05.ma.county,mas_suffolk,25025,"6,8,10",1449,0.593,NA,NA,992,0.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,county
meae.congressional.congress05.ma.county,mas_middlesex,25017,"8,9,10",779,0.386,NA,NA,1165,0.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,0.037,county
