meae_id,county_ahcb,county_fips,districts,federalist_vote,federalist_percentage,antifederalist_vote,antifederalist_percentage,demrep_vote,demrep_percentage,chesapeake_vote,chesapeake_percentage,potomac_vote,potomac_percentage,repfac_vote,repfac_percentage,adamsclay_vote,adamsclay_percentage,jacksonian_vote,jacksonian_percentage,anticaucus_vote,anticaucus_percentage,caucus_vote,caucus_percentage,other_vote,other_percentage,county_source
meae.congressional.congress09.ga.county,gas_bulloch,13031,At-large,NA,NA,NA,NA,459,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress09.ga.county,gas_burke,13033,At-large,NA,NA,NA,NA,1294,0.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,0.062,county
meae.congressional.congress09.ga.county,gas_camden,13039,At-large,NA,NA,NA,NA,704,0.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0.054,county
meae.congressional.congress09.ga.county,gas_chatham,13051,At-large,NA,NA,NA,NA,492,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,0.162,county
meae.congressional.congress09.ga.county,gas_clarke,13059,At-large,NA,NA,NA,NA,2353,0.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493,0.173,county
meae.congressional.congress09.ga.county,gas_columbia,13073,At-large,NA,NA,NA,NA,1893,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,0.12,county
meae.congressional.congress09.ga.county,gas_effingham,13103,At-large,NA,NA,NA,NA,411,0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.002,county
meae.congressional.congress09.ga.county,gas_elbert,13105,At-large,NA,NA,NA,NA,2319,0.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,638,0.216,county
meae.congressional.congress09.ga.county,gas_franklin,13119,At-large,NA,NA,NA,NA,1645,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,0.105,county
meae.congressional.congress09.ga.county,gas_glynn,13127,At-large,NA,NA,NA,NA,267,0.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0.133,county
meae.congressional.congress09.ga.county,gas_greene,13133,At-large,NA,NA,NA,NA,3090,0.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,0.075,county
meae.congressional.congress09.ga.county,gas_hancock,13141,At-large,NA,NA,NA,NA,2153,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,0.158,county
meae.congressional.congress09.ga.county,gas_jackson,13157,At-large,7,0.002,NA,NA,2339,0.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605,0.205,county
meae.congressional.congress09.ga.county,gas_jefferson,13163,At-large,NA,NA,NA,NA,1662,0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,0.061,county
meae.congressional.congress09.ga.county,gas_liberty,13179,At-large,NA,NA,NA,NA,365,0.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,0.174,county
meae.congressional.congress09.ga.county,gas_lincoln,13181,At-large,NA,NA,NA,NA,1457,0.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0.051,county
meae.congressional.congress09.ga.county,gas_mcintosh,13191,At-large,NA,NA,NA,NA,110,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress09.ga.county,gas_montgomery,13209,At-large,NA,NA,NA,NA,1133,0.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0.015,county
meae.congressional.congress09.ga.county,gas_oglethorpe,13221,At-large,NA,NA,NA,NA,2504,0.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,0.114,county
meae.congressional.congress09.ga.county,gas_richmond,13245,At-large,NA,NA,NA,NA,1081,0.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,0.121,county
meae.congressional.congress09.ga.county,gas_screven,13251,At-large,NA,NA,NA,NA,831,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,0.095,county
meae.congressional.congress09.ga.county,gas_tattnall,13267,At-large,NA,NA,NA,NA,237,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,0.119,county
meae.congressional.congress09.ga.county,gas_walton,13297,At-large,NA,NA,NA,NA,344,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress09.ga.county,gas_warren,13301,At-large,NA,NA,NA,NA,2392,0.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483,0.168,county
meae.congressional.congress09.ga.county,gas_washington,13303,At-large,NA,NA,NA,NA,2763,0.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,0.024,county
meae.congressional.congress09.ga.county,gas_wilkes,13317,At-large,NA,NA,NA,NA,4061,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,0.084,county
