meae_id,county_ahcb,county_fips,districts,federalist_vote,federalist_percentage,antifederalist_vote,antifederalist_percentage,demrep_vote,demrep_percentage,chesapeake_vote,chesapeake_percentage,potomac_vote,potomac_percentage,repfac_vote,repfac_percentage,adamsclay_vote,adamsclay_percentage,jacksonian_vote,jacksonian_percentage,anticaucus_vote,anticaucus_percentage,caucus_vote,caucus_percentage,other_vote,other_percentage,county_source
meae.congressional.congress12.vt.county,vts_bennington,50003,1,NA,0.654,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,district
meae.congressional.congress12.vt.county,vts_rutland,50021,1,NA,0.654,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,district
meae.congressional.congress12.vt.county,vts_windham,50025,2,1778,0.606,NA,NA,1127,0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,0.011,county
meae.congressional.congress12.vt.county,vts_windsor,50027,2,912,0.256,NA,NA,2534,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,0.034,county
meae.congressional.congress12.vt.county,vts_caledonia,50005,3,947,0.461,NA,NA,1076,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,0.015,county
meae.congressional.congress12.vt.county,vts_essex,50009,3,150,0.43,NA,NA,198,0.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.003,county
meae.congressional.congress12.vt.county,vts_orange,50017,3,925,0.361,NA,NA,1613,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0.009,county
meae.congressional.congress12.vt.county,vts_orleans,50019,3,305,0.478,NA,NA,309,0.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0.038,county
meae.congressional.congress12.vt.county,vts_addison,50001,4,1012,0.457,NA,NA,1146,0.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,0.026,county
meae.congressional.congress12.vt.county,vts_chittenden,50007,4,1016,0.533,NA,NA,874,0.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0.008,county
meae.congressional.congress12.vt.county,vts_franklin,50011,4,777,0.498,NA,NA,755,0.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0.017,county
meae.congressional.congress12.vt.county,vts_grandisle,50013,4,230,0.655,NA,NA,113,0.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.023,county
