meae_id,county_ahcb,county_fips,districts,federalist_vote,federalist_percentage,antifederalist_vote,antifederalist_percentage,demrep_vote,demrep_percentage,chesapeake_vote,chesapeake_percentage,potomac_vote,potomac_percentage,repfac_vote,repfac_percentage,adamsclay_vote,adamsclay_percentage,jacksonian_vote,jacksonian_percentage,anticaucus_vote,anticaucus_percentage,caucus_vote,caucus_percentage,other_vote,other_percentage,county_source
meae.congressional.congress15.ny.county,nys_albany,36001,9,2457,0.633,NA,NA,1424,0.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.001,county
meae.congressional.congress15.ny.county,nys_allegany,36003,21,438,0.401,NA,NA,648,0.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.006,county
meae.congressional.congress15.ny.county,nys_broome,36007,15,1483,0.521,NA,NA,1361,0.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,county
meae.congressional.congress15.ny.county,nys_cayuga,36011,20,2080,0.268,NA,NA,5654,0.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0.003,county
meae.congressional.congress15.ny.county,nys_chautauqua,36013,21,725,0.423,NA,NA,984,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.002,county
meae.congressional.congress15.ny.county,nys_chenango,36017,15,2010,0.383,NA,NA,3218,0.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.004,county
meae.congressional.congress15.ny.county,nys_clinton,36019,12,817,0.398,NA,NA,1233,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.002,county
meae.congressional.congress15.ny.county,nys_columbia,36021,5,2372,0.576,NA,NA,1749,0.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress15.ny.county,nys_cortland,36023,19,622,0.41,NA,NA,894,0.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.001,county
meae.congressional.congress15.ny.county,nys_delaware,36025,8,739,0.352,NA,NA,1359,0.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.001,county
meae.congressional.congress15.ny.county,nys_dutchess,36027,"4, 5",2729,0.557,NA,NA,2161,0.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.002,county
