meae_id,county_ahcb,county_fips,districts,federalist_vote,federalist_percentage,antifederalist_vote,antifederalist_percentage,demrep_vote,demrep_percentage,chesapeake_vote,chesapeake_percentage,potomac_vote,potomac_percentage,repfac_vote,repfac_percentage,adamsclay_vote,adamsclay_percentage,jacksonian_vote,jacksonian_percentage,anticaucus_vote,anticaucus_percentage,caucus_vote,caucus_percentage,other_vote,other_percentage,county_source
meae.congressional.congress15.tn.county,tns_anderson,47001,3,NA,NA,NA,NA,293,0.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,0.533,county
meae.congressional.congress15.tn.county,tns_bedford,47003,5,NA,NA,NA,NA,2152,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress15.tn.county,tns_bledsoe,47007,3,NA,NA,NA,NA,83,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454,0.845,county
meae.congressional.congress15.tn.county,tns_blount,47009,2,NA,NA,NA,NA,1447,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress15.tn.county,tns_campbell,47013,3,NA,NA,NA,NA,248,0.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,0.506,county
meae.congressional.congress15.tn.county,tns_carter,47019,1,NA,NA,NA,NA,271,0.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,0.406,county
meae.congressional.congress15.tn.county,tns_claiborne,47025,2,NA,NA,NA,NA,871,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress15.tn.county,tns_cocke,47029,2,NA,NA,NA,NA,697,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress15.tn.county,tns_davidson,47037,5,NA,NA,NA,NA,1747,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress15.tn.county,tns_dickson,47043,6,NA,NA,NA,NA,107,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587,0.846,county
