meae_id,county_ahcb,county_fips,districts,federalist_vote,federalist_percentage,antifederalist_vote,antifederalist_percentage,demrep_vote,demrep_percentage,chesapeake_vote,chesapeake_percentage,potomac_vote,potomac_percentage,repfac_vote,repfac_percentage,adamsclay_vote,adamsclay_percentage,jacksonian_vote,jacksonian_percentage,anticaucus_vote,anticaucus_percentage,caucus_vote,caucus_percentage,other_vote,other_percentage,county_source
meae.congressional.congress17.oh.county,ohs_adams,39001,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,district
meae.congressional.congress17.oh.county,ohs_ashtabula,39007,6,NA,NA,NA,NA,414,0.619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,0.381,county
meae.congressional.congress17.oh.county,ohs_athens,39009,3,NA,NA,NA,NA,277,0.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,0.543,county
meae.congressional.congress17.oh.county,ohs_belmont,39013,4,NA,NA,NA,NA,1927,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress17.oh.county,ohs_brown,39015,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,district
meae.congressional.congress17.oh.county,ohs_butler,39017,1,NA,NA,NA,NA,1286,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress17.oh.county,ohs_champaign,39021,5,44,0.049,NA,NA,830,0.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0.025,county
meae.congressional.congress17.oh.county,ohs_clark,39023,5,NA,NA,NA,NA,497,0.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,0.189,county
meae.congressional.congress17.oh.county,ohs_clermont,39025,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,district
meae.congressional.congress17.oh.county,ohs_clinton,39027,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,district
meae.congressional.congress17.oh.county,ohs_columbiana,39029,6,NA,NA,NA,NA,2208,0.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0.009,county
meae.congressional.congress17.oh.county,ohs_coshocton,39031,4,NA,NA,NA,NA,899,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress17.oh.county,ohs_cuyahoga,39035,6,NA,NA,NA,NA,336,0.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,0.572,county
meae.congressional.congress17.oh.county,ohs_darke,39037,5,210,0.778,NA,NA,60,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress17.oh.county,ohs_delaware,39041,5,NA,NA,NA,NA,449,0.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,0.236,county
meae.congressional.congress17.oh.county,ohs_fairfield,39045,5,966,0.517,NA,NA,903,0.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress17.oh.county,ohs_fayette,39047,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,district
meae.congressional.congress17.oh.county,ohs_franklin,39049,5,519,0.395,NA,NA,551,0.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,0.186,county
meae.congressional.congress17.oh.county,ohs_gallia,39053,3,NA,NA,NA,NA,498,0.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,0.313,county
meae.congressional.congress17.oh.county,ohs_geauga,39055,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress17.oh.county,ohs_greene,39057,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,district
meae.congressional.congress17.oh.county,ohs_guernsey,39059,4,NA,NA,NA,NA,974,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress17.oh.county,ohs_hamilton,39061,1,NA,NA,NA,NA,2087,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress17.oh.county,ohs_harrison,39067,4,NA,NA,NA,NA,1322,0.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.003,county
meae.congressional.congress17.oh.county,ohs_highland,39071,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,district
meae.congressional.congress17.oh.county,ohs_hocking,39073,3,NA,NA,NA,NA,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress17.oh.county,ohs_huron,39077,6,NA,NA,NA,NA,272,0.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,0.451,county
meae.congressional.congress17.oh.county,ohs_jackson,39079,3,NA,NA,NA,NA,210,0.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,0.397,county
meae.congressional.congress17.oh.county,ohs_jefferson,39081,4,NA,NA,NA,NA,1845,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress17.oh.county,ohs_knox,39083,6,NA,NA,NA,NA,683,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0.03,county
meae.congressional.congress17.oh.county,ohs_lawrence,39087,3,NA,NA,NA,NA,468,0.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.021,county
meae.congressional.congress17.oh.county,ohs_licking,39089,5,331,0.281,NA,NA,756,0.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,0.076,county
meae.congressional.congress17.oh.county,ohs_logan,39091,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress17.oh.county,ohs_madison,39097,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress17.oh.county,ohs_medina,39103,6,NA,NA,NA,NA,300,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress17.oh.county,ohs_meigs,39105,3,NA,NA,NA,NA,325,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,0.129,county
meae.congressional.congress17.oh.county,ohs_miami,39109,5,411,0.73,NA,NA,152,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress17.oh.county,ohs_monroe,39111,4,NA,NA,NA,NA,341,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress17.oh.county,ohs_montgomery,39113,5,1079,0.892,NA,NA,125,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.005,county
