meae_id,county_ahcb,county_fips,districts,federalist_vote,federalist_percentage,antifederalist_vote,antifederalist_percentage,demrep_vote,demrep_percentage,chesapeake_vote,chesapeake_percentage,potomac_vote,potomac_percentage,repfac_vote,repfac_percentage,adamsclay_vote,adamsclay_percentage,jacksonian_vote,jacksonian_percentage,anticaucus_vote,anticaucus_percentage,caucus_vote,caucus_percentage,other_vote,other_percentage,county_source
meae.congressional.congress13.vt.county,vts_addison,50001,At-large,9291,0.515,NA,NA,8744,0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,county
meae.congressional.congress13.vt.county,vts_bennington,50003,At-large,5908,0.444,NA,NA,7395,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.001,county
meae.congressional.congress13.vt.county,vts_caledonia,50005,At-large,6683,0.536,NA,NA,5787,0.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,county
meae.congressional.congress13.vt.county,vts_chittenden,50007,At-large,6926,0.551,NA,NA,5638,0.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,county
meae.congressional.congress13.vt.county,vts_essex,50009,At-large,1495,0.572,NA,NA,1116,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,county
meae.congressional.congress13.vt.county,vts_franklin,50011,At-large,7546,0.538,NA,NA,6471,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress13.vt.county,vts_grandisle,50013,At-large,1614,0.712,NA,NA,654,0.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress13.vt.county,vts_orange,50017,At-large,8434,0.438,NA,NA,10819,0.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,county
meae.congressional.congress13.vt.county,vts_orleans,50019,At-large,2740,0.445,NA,NA,3418,0.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,county
meae.congressional.congress13.vt.county,vts_rutland,50021,At-large,10823,0.433,NA,NA,14146,0.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,county
meae.congressional.congress13.vt.county,vts_washington,50023,At-large,4779,0.479,NA,NA,5200,0.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,county
meae.congressional.congress13.vt.county,vts_windham,50025,At-large,16843,0.699,NA,NA,7262,0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,county
meae.congressional.congress13.vt.county,vts_windsor,50027,At-large,11288,0.368,NA,NA,19389,0.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,county
