meae_id,county_ahcb,county_fips,districts,federalist_vote,federalist_percentage,antifederalist_vote,antifederalist_percentage,demrep_vote,demrep_percentage,chesapeake_vote,chesapeake_percentage,potomac_vote,potomac_percentage,repfac_vote,repfac_percentage,adamsclay_vote,adamsclay_percentage,jacksonian_vote,jacksonian_percentage,anticaucus_vote,anticaucus_percentage,caucus_vote,caucus_percentage,other_vote,other_percentage,county_source
meae.congressional.congress16.ga.county,gas_baldwin,13009,At-large,NA,NA,NA,NA,1528,0.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.012,county
meae.congressional.congress16.ga.county,gas_bryan,13029,At-large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_bulloch,13031,At-large,NA,NA,NA,NA,569,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_burke,13033,At-large,NA,NA,NA,NA,654,0.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.014,county
meae.congressional.congress16.ga.county,gas_camden,13039,At-large,NA,NA,NA,NA,541,0.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.027,county
meae.congressional.congress16.ga.county,gas_chatham,13051,At-large,NA,NA,NA,NA,2223,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_clarke,13059,At-large,NA,NA,NA,NA,2118,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_columbia,13073,At-large,NA,NA,NA,NA,2247,0.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,0.057,county
meae.congressional.congress16.ga.county,gas_effingham,13103,At-large,NA,NA,NA,NA,788,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_emanuel,13107,At-large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_elbert,13105,At-large,NA,NA,NA,NA,2096,0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.005,county
meae.congressional.congress16.ga.county,gas_franklin,13119,At-large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_glynn,13127,At-large,NA,NA,NA,NA,243,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_greene,13133,At-large,NA,NA,NA,NA,1037,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_hancock,13141,At-large,NA,NA,NA,NA,2459,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_jackson,13157,At-large,NA,NA,NA,NA,3281,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_jasper,13159,At-large,NA,NA,NA,NA,1856,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,0.09,county
meae.congressional.congress16.ga.county,gas_jefferson,13163,At-large,NA,NA,NA,NA,466,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_jones,13169,At-large,NA,NA,NA,NA,1608,0.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,0.021,county
meae.congressional.congress16.ga.county,gas_laurens,13175,At-large,NA,NA,NA,NA,168,0.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.018,county
meae.congressional.congress16.ga.county,gas_liberty,13179,At-large,NA,NA,NA,NA,739,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_lincoln,13181,At-large,NA,NA,NA,NA,1934,0.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0.013,county
meae.congressional.congress16.ga.county,gas_madison,13195,At-large,NA,NA,NA,NA,1284,0.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,0.029,county
meae.congressional.congress16.ga.county,gas_mcintosh,13191,At-large,NA,NA,NA,NA,424,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_montgomery,13209,At-large,NA,NA,NA,NA,220,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_morgan,13211,At-large,NA,NA,NA,NA,719,0.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.024,county
meae.congressional.congress16.ga.county,gas_oglethorpe,13221,At-large,NA,NA,NA,NA,3150,0.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,0.015,county
meae.congressional.congress16.ga.county,gas_pulaski,13235,At-large,NA,NA,NA,NA,343,0.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.014,county
meae.congressional.congress16.ga.county,gas_putnam,13237,At-large,NA,NA,NA,NA,2289,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_richmond,13245,At-large,NA,NA,NA,NA,1314,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0.02,county
meae.congressional.congress16.ga.county,gas_screven,13251,At-large,NA,NA,NA,NA,357,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,0.11,county
meae.congressional.congress16.ga.county,gas_tattnall,13267,At-large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_telfair,13271,At-large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_twiggs,13289,At-large,NA,NA,NA,NA,1030,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,0.122,county
meae.congressional.congress16.ga.county,gas_warren,13301,At-large,NA,NA,NA,NA,905,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress16.ga.county,gas_washington,13303,At-large,NA,NA,NA,NA,177,0.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.027,county
meae.congressional.congress16.ga.county,gas_wayne,13305,At-large,NA,NA,NA,NA,294,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,0.162,county
meae.congressional.congress16.ga.county,gas_wilkes,13317,At-large,NA,NA,NA,NA,3654,0.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,0.026,county
