candidate_id,candidate_name
AA0000,"Austin, Aaron"
AA0001,"Alexander, Augustine"
AA0002,"Albertson, Aaron"
AA0003,"Addison, Alexander"
AA0004,"Allen, Amasa"
AA0005,"Adair, Alexander"
AA0006,"Alston, Andrew"
AA0007,"Abel, Asahel"
AA0008,"Atwater, Alonzo"
AA0009,"Andrews, Asa"
AA0010,"Atherton, Abel W."
AA0011,"Adams, Abel"
AA0012,"Abbot, Abijah"
AA0013,"Alden, Abner"
AA0014,"Austin, Abner"
AA0015,"Allen, Abraham"
AA0016,"Alcott, Amos"
AA0017,"Augur, Apollos P."
AA0018,"Aldrich, Artemus"
AA0019,"Andrews, Ashbel, Jr."
AA0020,"Adams, Aaron"
AA0021,"Abott, Abel"
AA0022,"Austin, Abel"
AA0023,"Anthony, Abner"
AA0024,"Armstrong, Abraham"
AA0025,"Austin, Abraham"
AA0026,"Andrus, Alva W."
AA0027,"Alexander, Archibald"
AA0028,"Atwater, Amos"
AA0029,"Adams, Alexander"
AA0030,"Alburger, Abram"
AA0031,"Apple, Andrew"
AA0032,"Allen, Alexander"
AA0033,"Avery, Archy"
AA0034,"Armstrong, Abner"
AA0035,"Aldrich, Ariel"
AA0036,"Abat, A."
AA0037,"Albaugh, Abraham"
AA0038,"Anderson, Abel"
AA0039,"Aaron, Asa"
AA0040,"Austin, Apollos"
AA0041,"Archer, Abraham"
AA0042,"Atkinson, Amos"
AA0043,"Allen, Amasa"
AA0044,"Ayers, Archibald"
AA0047,"Ackerman, Abraham"
AA0049,"Armstrong, Abner"
AA0051,"Arendt, Abraham"
AA0055,"Adriance, Abraham"
AA0063,"Aiken, Albro"
AA0064,"Anthony, Allard"
AA0067,"Adgate, Asa"
AA0068,"Armstrong, Asher"
AA0070,"Alexander, Abner"
AA0073,"Alston, Alfred"
AA0075,"Adams, Asahel"
AA0076,"Ayers, Abner"
AA0077,"Albright, Andrew"
AA0078,"Andrews, Arthur"
AA0079,"Allsworth, Andrew"
AA0080,"Alstyne, Abraham V."
AA0085,"Adams, Abraham"
AA0086,"Anderson, Alexander A."
AA0089,"Augstadt, Abraham"
AA0091,"Alexander, Adam R."
AA0092,"Acklin, Alexander S."
AA0093,"Anderson, Alexander"
AA0094,"Aldis, Asa"
AA0095,"Aiken, Asa"
AA0096,"Anderson, Andrew"
AA0097,"Alexander, Andrew A."
AA0106,"Alexander, Amos"
AA0107,"Austin, Archibald"
AA8812,"Abergoty, A."
AB0000,"Andrews, Benjamin"
AB0001,"Anderson, Bailey"
AB0002,"Adams, Benjamin"
AB0003,"Armitage, Benjamin"
AB0004,"Ashbel, Bladen"
AB0005,"Ayres, Benajah"
AB0006,"Allen, Benjamin"
AB0007,"Allen, Benjamin"
AB0008,"Ames, Benjamin"
AB0009,"Allen, Benjamin"
AB0010,"Adams, Benjamin"
AB0011,"Austin, Benjamin"
AB0012,"Ames, Bilhey"
AB0013,"Austin, Benjamin, Jr."
AB0014,"Arendell, B."
AB0015,"Alley, Bille B."
AB0016,"Austin, Benjamin"
AB0017,"Allen, Benoni C."
AB0018,"Andrews, Benjamin"
AB0019,"Ambler, Benjamin"
AB0020,"Austin, Benoni"
AB0021,"Adams, Benjamin"
AB0022,"Archer, Benjamin"
AB0027,"Allen, Bethel"
AB0028,"Aiken, Benjamin"
AB0029,"Allen, Benjamin"
AB0030,"Acworth, Beauchamp"
AB0032,"Arnold, Benedict"
AB0033,"Archer, Benjamin"
AB0034,"Austin, Benajah"
AB0040,"Adair, Blainey"
AB0043,"Allston, Benjamin"
AB0044,"Allen, Bennett"
AB0045,"Allston, Benjamin George"
AB0048,"Ashton, Burditt, Jr."
AB0050,"Anderson, B."
AB0051,"Archer, Branch T."
AC0000,"Allen, Chilton"
AC0001,"Allen, Charles H."
AC0002,"Andrews, Cullen"
AC0003,"Abdil, Connel"
AC0004,"Allen, Charles H."
AC0005,"Arnold, Christian"
AC0006,"Austin, Calvin"
AC0007,"Austin, Cavil"
AC0008,"Arthur, Chapman"
AC0009,"Allen, Caleb"
AC0010,"Austin, Charles"
AC0011,"Amidown, Caleb"
AC0012,"Alvord, Caleb"
AC0013,"Adams, Charles"
AC0014,"Althouser, Christian"
AC0015,"Atwater, Caleb"
AC0016,"Atwood, Caleb"
AC0017,"Atherton, Charles H."
AC0018,"Allen, Clark"
AC0019,"Abeel, Charles C."
AC0020,"Alvard, Chester"
AC0021,"Atwater, Caleb"
AC0022,"Avery, Cyrus"
AC0023,"Allen, Charles"
AC0024,"Albertson, Cornelius"
AC0025,"Adriance, Cornelius"
AC0026,"Avery, Charles"
AC0027,"Adams, Charles"
AC0028,"Anderson, Colbert"
AC0029,"Alexander, Charles"
AC0030,"Alexander, Charles"
AC0031,"Anderson, Charles"
AC0032,"Allen, Charles"
AC0033,"Adams, Croll"
AC0101,"Abercrombie, Charles"
AC0102,"Allen, Charles"
AD0000,"Allen, Drury M."
AD0001,"Abbot, Daniel"
AD0002,"Adams, Daniel J."
AD0003,"Adams, David"
AD0004,"Austin, David"
AD0005,"Apperson, David"
AD0006,"Adams, David"
AD0007,"Adams, Demas"
AD0008,"Appleton, Daniel"
AD0009,"Anderson, D."
AD0010,"Ashby, Daniel"
AD0011,"Aime, Dejean"
AD0012,"Ayers, David"
AD0013,"Austin, David"
AD0014,"Andrus, David I."
AD0015,"Avery, Daniel"
AD0016,"Ashley, Daniel"
AD0017,"Allen, David"
AD0018,"Armour, David"
AD0019,"Arnold, Dutee"
AD0020,"Augustine, David"
AD0021,"Avery, David"
AD0022,"Adams, Daniel"
AD0023,"Armory, Daniel"
AD0024,"Arne, David, Jr."
AD0025,"Andrews, David"
AD0026,"Allen, Daniel B."
AD0027,"Abbott, David"
AD0028,"Ayres, Daniel"
AD0029,"Allen, David"
AD0030,"Aurandt, Daniel"
AD0031,"Adams, David"
AD0032,"Acheson, David"
AD0033,"Arthur, David"
AD0034,"Ambler, David"
AD0035,"Avea, Daniel"
AD0036,"Ayrault, Daniel"
AD0037,"Abraham, David"
AD0038,"Ayres, Daniel"
AD0039,"Aldrich, David"
AD0040,"Acuff, David"
AD0041,"Arden, Daniel D."
AD0042,"Anderson, David"
AD0043,"Arnell, David R."
AD0044,"Adams, David"
AD0045,"Allen, Daniel A."
AD0046,"Armstrong, David"
AD0047,"Adee, Daniel W."
AD0048,"Arnold, David"
AD0049,"Aiken, David J."
AD0050,"Archey, David"
AD0051,"Ackerman, David"
AD0052,"Abraham, Daniel"
AD0053,"Arnold, Daniel"
AD0054,"Arnold, David"
AD0055,"Atcheson, David"
AD0056,"Adams, David M."
AD0057,"Acheson, David"
AE0000,"Abbe, Elisha"
AE0001,"Allen, Elisha"
AE0002,"Ayres, Ebenezer"
AE0003,"Adams, Elijah"
AE0004,"Atwater, Elihu"
AE0005,"Adams, Elijah A."
AE0006,"Asquith, Edward"
AE0007,"Alexander, Elias"
AE0008,"Alexander, Evan"
AE0009,"Allis, Elisha"
AE0010,"Abach, Ezah"
AE0011,"Adamson, Elijah"
AE0012,"Austin, Erastus"
AE0013,"Allen, Edward"
AE0014,"Andrews, Ebenezer T."
AE0015,"Abbot, Edmund"
AE0016,"Ashman, Eli P."
AE0017,"Ayers, Ezekiel"
AE0018,"Adams, Evi"
AE0019,"Adams, Ellis"
AE0020,"Andrews, Elnathan"
AE0021,"Arnold, Elisha"
AE0022,"Avery, Elias"
AE0023,"Atkinson, Edward"
AE0024,"Alexander, Evan"
AE0025,"Alexander, Elias"
AE0026,"Adams, E"
AE0027,"Anderson, Enoch"
AE0028,"Anderson, Eliakian"
AE0029,"Adams, Elijah"
AE0030,"Allen, Ebenezer N."
AE0031,"Alcord, Elijah"
AE0032,"Atwood, Ebenezer"
AE0033,"Allen, Ezekiel"
AE0034,"Anderson, Edward"
AE0035,"Adams, Elijah"
AE0036,"Ambler, Edward"
AE0037,"Anderson, Ezekial"
AE0038,"Andrews, Elisha"
AE0039,"Angevine, Eli"
AE0040,"Anderson, Ezekial"
AE0041,"Armstrong, Edward"
AE0042,"Allen, Ethan B."
AE0043,"Aiken, Eathen C."
AE0044,"Averill, Ebenezer"
AE0045,"Andrews, Eli"
AE0046,"Avery, Elisha"
AE0047,"Andrews, Elisha"
AE0048,"Abraham, Enoch"
AE0049,"Abrahams, Enoch"
AE0050,"Allbee, Eleazer"
AE0051,"Allen, Elihu"
AE0052,"Allbe, Ellery"
AF0000,"Adams, Francis L."
AF0001,"Armstrong, Francis W."
AF0002,"Anderson, Francis"
AF0003,"Arnaud, Felix"
AF0004,"Ames, Fisher"
AF0005,"Arthur, Francis"
AF0006,"Annin, Freegift"
AF0007,"Adams, Francis"
AF0008,"Axe, Frederick"
AF0009,"Anose, Francisco"
AF0010,"Arthur, Friday"
AF0011,"Ayres, Frazee"
AF0012,"Armistead, Francis M."
AG0000,"Allen, George"
AG0001,"Alston, Gideon, Junior"
AG0002,"Anderson, George W."
AG0003,"Adams, George"
AG0004,"Armstrong, George"
AG0005,"Adams, George"
AG0006,"Atterholt, George"
AG0007,"Alexander, George"
AG0008,"Ackerman, Garrett"
AG0009,"Andrews, George"
AG0010,"Anderson, George"
AG0011,"Alexander, George"
AG0012,"Aleis, Gideon"
AG0013,"Adams, George"
AG0014,"Armstrong, George"
AG0015,"Albaugh, George"
AG0016,"Alexander, George"
AG0017,"Augustine, George"
AG0018,"Ackley, George"
AG0019,"Alomar, Galen"
AG0020,"Adams, Gilham"
AG0021,"Ackerson, Garrett"
AG0022,"Ackley, Gad"
AG0023,"Adriance, Garrett A."
AG0024,"Abeel, Garret"
AG0025,"Abrams, George"
AG0026,"Andrus, George"
AG0027,"Allen, George"
AG0028,"Alston, Gideon"
AG0029,"Allen, George"
AG0030,"Arrington, G."
AG0031,"Adams, George"
AG0032,"Acker, George"
AG0033,"Armstrong, George"
AG0034,"Aldrich, Gilbert"
AG0035,"Abbot, George"
AG0036,"Ament, George"
AG0037,"Anderson, Gale H."
AG0039,"Anderson, George"
AG0040,"Armstrong, George"
AG0041,"Aurand, George"
AG0042,"Alexander, Gerard"
AG0043,"Armistead, Gill"
AG0044,"Allen, George H."
AH0000,"Armprester, Henry"
AH0001,"Allison, Henry"
AH0002,"Ashton, Henry"
AH0003,"Almy, Holder"
AH0004,"Anderson, Hezekiah R."
AH0005,"Aukeny, Henry"
AH0006,"Allison, Hugh"
AH0007,"Alexander, Hugh"
AH0008,"Ashley, Henry"
AH0009,"Allen, Horace"
AH0010,"Abrams, Henry"
AH0011,"Alexander, Hugh"
AH0012,"Andrews, Humphrey"
AH0013,"Ashlen, Henry"
AH0014,"Allshouse, Henry"
AH0015,"Andrews, Hugh"
AH0016,"Altemment, Hiram"
AH0017,"Albright, Henry"
AH0018,"Andrews, Hugh"
AH0019,"Ackerman, Henry"
AH0020,"Adams, Henry"
AH0021,"Axtell, Henry, Jr."
AH0022,"Avery, Henry"
AH0023,"Albert, Henry"
AH0024,"Abel, Henry"
AH0025,"Alward, Henry"
AH0026,"Allen, Henry"
AH0027,"Ankeny, Henry"
AH0028,"Atwater, Henry"
AH0029,"Averill, Hiram"
AH0030,"Agard, Horace"
AH0031,"Anderson, Henry J."
AH0032,"Allen, Herman"
AH0033,"Albus, Himan"
AH0036,"Armstead, Henry"
AH0037,"Allen, Hezekiah P."
AI0000,"Abrahams, Isaac"
AI0001,"Adams, Isaac M."
AI0002,"Atkinson, Isaac"
AI0003,"Avery, Isaac"
AI0004,"Armfield, Isaac"
AI0005,"Allen, Isaac"
AI0006,"Anderson, Isaac"
AI0007,"Adams, Isaac"
AI0008,"Appleton, Isaac"
AI0009,"Avery, I. T."
AI0010,"Adams, Isaac"
AI0011,"Abercrombie, Isaac"
AI0012,"Anderson, Isaac"
AI0013,"Adams, Isaac"
AI0014,"Anthony, Israel"
AI0015,"Andrews, Ichabod"
AI0016,"Ameerman, Isaac"
AI0017,"Allen, Isaac"
AI0018,"Adriance, Isaac"
AI0019,"Ackerman, Isaac"
AI0020,"Aiken, Isaac"
AI0021,"Allen, Irad"
AI0022,"Ankeny, Isaac"
AI0023,"Allen, Isaac"
AI0024,"Andruss, Isaac"
AI0025,"Allen, Ira"
AI0028,"Avery, Isaac"
AJ0000,"Alston, Joseph J."
AJ0001,"Aldrich, Job"
AJ0002,"Acklin, Joseph"
AJ0003,"Abbot, Jacob"
AJ0004,"Abercrombie, James"
AJ0005,"Alston, J. J."
AJ0006,"Allen, John"
AJ0007,"Alexander, James"
AJ0008,"Allen, Joseph"
AJ0009,"Amis, Joseph"
AJ0010,"Arnold, James"
AJ0011,"Adams, Joseph"
AJ0012,"Armstrong, John"
AJ0013,"Atkinson, John"
AJ0014,"Avery, Jas."
AJ0015,"Armstrong, James"
AJ0016,"Archer, John"
AJ0017,"Armstrong, John"
AJ0018,"Allen, James"
AJ0019,"Armstrong, Job"
AJ0020,"Adams, John"
AJ0021,"Alexander, James"
