meae_id,election_id,candidate,candidate_id,district,party,vote,total_vote,percent_vote,winner,unopposed
meae.congressional.congress04.va.county,va.uscongress.1.1795,Robert Rutherford,RR0071,1,Democratic-Republican,NA,0,NA,TRUE,FALSE
meae.congressional.congress04.va.county,va.uscongress.1.1795,Daniel Morgan,MD0085,1,Federalist,NA,0,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.10.1795,Carter B. Harrison,HC0136,10,Democratic-Republican,NA,0,1,TRUE,TRUE
meae.congressional.congress04.va.county,va.uscongress.11.1795,Josiah Parker,PJ0725,11,Democratic-Republican,NA,0,NA,TRUE,FALSE
meae.congressional.congress04.va.county,va.uscongress.11.1795,Robert Cowper,CR0168,11,Federalist,NA,0,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.12.1795,John Page,PJ0728,12,Democratic-Republican,NA,0,1,TRUE,TRUE
meae.congressional.congress04.va.county,va.uscongress.13.1795,John Clopton,CJ1097,13,Democratic-Republican,432,854,0.506,TRUE,FALSE
meae.congressional.congress04.va.county,va.uscongress.13.1795,Burwell Bassett,BB0099,13,Federalist,422,854,0.494,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.13.1795,Miles Selden,SM0110,13,NA,NA,854,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.13.1795,Meriweather Jones,JM0015,13,Democratic-Republican,NA,854,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.14.1795,Samuel Jordan Cabell,CS0229,14,Democratic-Republican,NA,NA,1,TRUE,TRUE
meae.congressional.congress04.va.county,va.uscongress.15.1795,James Madison,MJ1315,15,Democratic-Republican,NA,NA,1,TRUE,TRUE
meae.congressional.congress04.va.county,va.uscongress.16.1795,Anthony New,NA0009,16,Democratic-Republican,NA,NA,NA,TRUE,FALSE
meae.congressional.congress04.va.county,va.uscongress.16.1795,Francis T. Brooke,BF0063,16,NA,NA,NA,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.16.1795,Francis Corbin,CF0032,16,NA,NA,NA,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.17.1795,Richard B. Lee,LR0090,17,Federalist,NA,NA,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.17.1795,Richard Brent,BR0163,17,Democratic-Republican,NA,NA,NA,TRUE,FALSE
meae.congressional.congress04.va.county,va.uscongress.18.1795,John Nicholas,NJ0072,18,Democratic-Republican,NA,NA,1,TRUE,TRUE
meae.congressional.congress04.va.county,va.uscongress.19.1795,John Heath,HJ1299,19,Democratic-Republican,NA,NA,1,TRUE,TRUE
meae.congressional.congress04.va.county,va.uscongress.2.1795,Andrew Moore,MA0281,2,Democratic-Republican,NA,NA,1,TRUE,TRUE
meae.congressional.congress04.va.county,va.uscongress.3.1795,George Jackson,JG0032,3,Democratic-Republican,NA,NA,NA,TRUE,FALSE
meae.congressional.congress04.va.county,va.uscongress.3.1795,Joseph Nevill,NJ0172,3,Federalist,NA,NA,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.3.1795,Thomas Wilson,WT0140,3,NA,NA,NA,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.3.1795,John Skidmore,SJ0270,3,NA,NA,NA,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.4.1795,Francis Preston,PF0010,4,Democratic-Republican,NA,NA,NA,TRUE,FALSE
meae.congressional.congress04.va.county,va.uscongress.4.1795,Arthur Campbell,CA0220,4,Federalist,NA,NA,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.5.1795,George Hancock,HG0163,5,Federalist,NA,NA,1,TRUE,TRUE
meae.congressional.congress04.va.county,va.uscongress.6.1795,Isaac Coles,CI0035,6,Democratic-Republican,NA,NA,NA,TRUE,FALSE
meae.congressional.congress04.va.county,va.uscongress.6.1795,Simon Crae MacMahon,MS0250,6,Federalist,NA,NA,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.6.1795,Matthew Clay,CM0108,6,Democratic-Republican,NA,NA,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.7.1795,Abraham B. Venable,VA0029,7,Democratic-Republican,761,1246,0.611,TRUE,FALSE
meae.congressional.congress04.va.county,va.uscongress.7.1795,Thomas Woodson,WT0167,7,Federalist,247,1246,0.198,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.7.1795,Joseph Wyatt,WJ0975,7,Federalist,236,1246,0.189,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.7.1795,Peter Johnson,JP0026,7,NA,2,1246,0.002,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.7.1795,William Wilson,WW0030,7,NA,NA,1246,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.8.1795,Thomas Claiborne,CT0181,8,Democratic-Republican,NA,0,NA,TRUE,FALSE
meae.congressional.congress04.va.county,va.uscongress.8.1795,Jesse Brown,BJ1441,8,Federalist,NA,0,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.8.1795,Samuel Hopkins,HS0260,8,NA,NA,0,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.8.1795,Samuel Goode,GS0120,8,Federalist,NA,0,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.8.1795,Sterling Edmunds,ES0061,8,NA,NA,0,NA,FALSE,FALSE
meae.congressional.congress04.va.county,va.uscongress.9.1795,William B. Giles,GW0186,9,Democratic-Republican,NA,0,NA,TRUE,TRUE
