meae_id,election_id,candidate,candidate_id,district,party,vote,total_vote,percent_vote,winner,unopposed
meae.congressional.congress07.nc.county,nc.uscongress1.1800,James Holland,HJ0602,1,Democratic-Republican,2445,4015,0.609,TRUE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress1.1800,Joseph Dickson,DJ0351,1,Federalist,1570,4015,0.391,FALSE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress10.1800,John Stanly,SJ0834,10,Federalist,2555,4254,0.601,TRUE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress10.1800,Richard D. Spaight,SR0164,10,Democratic-Republican,1699,4254,0.399,FALSE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress2.1800,Archibald Henderson,HA0107,2,Federalist,1922,3898,0.493,TRUE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress2.1800,Mussendine Matthews,MM0040,2,Federalist,1131,3898,0.29,FALSE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress2.1800,Matthew Locke,LM0052,2,Democratic-Republican,845,3898,0.217,FALSE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress3.1800,Robert Williams,WR0105,3,Democratic-Republican,2985,3975,0.751,TRUE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress3.1800,John Hamilton,HJ0611,3,Federalist,990,3975,0.249,FALSE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress4.1800,Richard Stanford,SR0175,4,Democratic-Republican,2337,3792,0.616,TRUE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress4.1800,William Strudwick,SW0148,4,Federalist,1455,3792,0.384,FALSE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress5.1800,Nathaniel Macon,MN0068,5,Democratic-Republican,2636,2706,0.974,TRUE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress5.1800,scattering,NA,5,NA,70,2706,0.026,FALSE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress6.1800,William H. Hill,HW0233,6,Federalist,1892,2900,0.652,TRUE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress6.1800,James Gillespie,GJ0328,6,Democratic-Republican,1008,2900,0.348,FALSE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress7.1800,William B. Grove,GW0091,7,Federalist,3077,3957,0.778,TRUE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress7.1800,Samuel Purivance,PS0066,7,Democratic-Republican,880,3957,0.222,FALSE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress8.1800,David Stone,SD0075,8,Democratic-Republican,NA,NA,NA,TRUE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress8.1800,John H. Jaycocks,JJ0135,8,Federalist,NA,NA,NA,FALSE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress8.1800,John White,WJ0166,8,NA,NA,NA,NA,FALSE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress9.1800,Willis Alston,AW0047,9,Federalist,2300,3962,0.581,TRUE,FALSE
meae.congressional.congress07.nc.county,nc.uscongress9.1800,Thomas Blount,BT0194,9,Democratic-Republican,1662,3962,0.419,FALSE,FALSE
