meae_id,election_id,candidate,candidate_id,district,party,vote,total_vote,percent_vote,winner,unopposed
meae.congressional.congress19.pa.county,pa.congress.1.1824,John Wurts,WJ0860,1,Federalist,1221,2345,0.521,TRUE,FALSE
meae.congressional.congress19.pa.county,pa.congress.1.1824,Joel B. Sutherland,SJ1275,1,Democratic-Republican,1124,2345,0.479,FALSE,FALSE
meae.congressional.congress19.pa.county,pa.congress.10.1824,James S. Mitchell,MJ1038,10,Jacksonian,4260,4260,1,TRUE,TRUE
meae.congressional.congress19.pa.county,pa.congress.11.1824,James Wilson,WJ0898,11,Democratic-Republican,5929,12312,0.482,TRUE,FALSE
meae.congressional.congress19.pa.county,pa.congress.11.1824,John Findlay,FJ0394,11,Jacksonian,5693,12312,0.462,TRUE,FALSE
meae.congressional.congress19.pa.county,pa.congress.11.1824,James Reily,RJ0572,11,NA,176,12312,0.014,FALSE,FALSE
meae.congressional.congress19.pa.county,pa.congress.11.1824,David Fullerton,FD0036,11,NA,143,12312,0.012,FALSE,FALSE
meae.congressional.congress19.pa.county,pa.congress.11.1824,Isaac Weirman,WI0064,11,NA,99,12312,0.008,FALSE,FALSE
meae.congressional.congress19.pa.county,pa.congress.11.1824,John King,KJ0360,11,NA,98,12312,0.008,FALSE,FALSE
meae.congressional.congress19.pa.county,pa.congress.11.1824,S. Alexander,AS0065,11,Federalist,88,12312,0.007,FALSE,FALSE
meae.congressional.congress19.pa.county,pa.congress.11.1824,D. R. Keller,KD0050,11,Federalist,86,12312,0.007,FALSE,FALSE
meae.congressional.congress19.pa.county,pa.congress.12.1824,John Mitchell,MJ1130,12,Jacksonian,2731,7357,0.371,TRUE,FALSE
meae.congressional.congress19.pa.county,pa.congress.12.1824,John Brown,BJ1047,12,Democratic-Republican,2644,7357,0.359,FALSE,FALSE
meae.congressional.congress19.pa.county,pa.congress.12.1824,Robert Allison,AR0051,12,Democratic-Republican,1982,7357,0.269,FALSE,FALSE
meae.congressional.congress19.pa.county,pa.congress.13.1824,Alexander Thomson,TA0068,13,Democratic-Republican,2723,2723,1,TRUE,TRUE
meae.congressional.congress19.pa.county,pa.congress.14.1824,Andrew Stewart,SA0254,14,Jacksonian,2719,2719,1,TRUE,TRUE
meae.congressional.congress19.pa.county,pa.congress.15.1824,Joseph Lawrence,LJ0456,15,Adams/Clay,2082,2082,1,TRUE,TRUE
meae.congressional.congress19.pa.county,pa.congress.16.1824,"James Allison, Jr.",AJ0332,16,Jacksonian,3327,15099,0.22,TRUE,FALSE
meae.congressional.congress19.pa.county,pa.congress.16.1824,James S. Stevenson,SJ1347,16,Jacksonian,3307,15099,0.219,TRUE,FALSE
