meae_id,county_ahcb,county_fips,districts,federalist_vote,federalist_percentage,antifederalist_vote,antifederalist_percentage,demrep_vote,demrep_percentage,chesapeake_vote,chesapeake_percentage,potomac_vote,potomac_percentage,repfac_vote,repfac_percentage,adamsclay_vote,adamsclay_percentage,jacksonian_vote,jacksonian_percentage,anticaucus_vote,anticaucus_percentage,caucus_vote,caucus_percentage,other_vote,other_percentage,county_source
meae.congressional.congress12.ga.county,gas_baldwin,13009,At-large,39,0.014,NA,NA,2828,0.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_bryan,13029,At-large,8,0.04,NA,NA,190,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_bulloch,13031,At-large,20,0.025,NA,NA,786,0.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_burke,13033,At-large,299,0.111,NA,NA,2402,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_camden,13039,At-large,30,0.036,NA,NA,810,0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_chatham,13051,At-large,145,0.101,NA,NA,1288,0.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_clarke,13059,At-large,66,0.022,NA,NA,2894,0.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.001,county
meae.congressional.congress12.ga.county,gas_columbia,13073,At-large,52,0.018,NA,NA,2762,0.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_effingham,13103,At-large,2,0.003,NA,NA,588,0.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_elbert,13105,At-large,13,0.004,NA,NA,3272,0.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_franklin,13119,At-large,57,0.018,NA,NA,3064,0.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_glynn,13127,At-large,10,0.071,NA,NA,131,0.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_greene,13133,At-large,74,0.03,NA,NA,2430,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_hancock,13141,At-large,9,0.003,NA,NA,3050,0.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,county
meae.congressional.congress12.ga.county,gas_jackson,13157,At-large,2,0.001,NA,NA,3330,0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_jefferson,13163,At-large,152,0.076,NA,NA,1858,0.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_jones,13169,At-large,29,0.008,NA,NA,3384,0.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_laurens,13175,At-large,32,0.027,NA,NA,1153,0.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_liberty,13179,At-large,77,0.198,NA,NA,312,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_lincoln,13181,At-large,122,0.073,NA,NA,1547,0.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_mcintosh,13191,At-large,114,0.246,NA,NA,350,0.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_montgomery,13209,At-large,14,0.023,NA,NA,599,0.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_morgan,13211,At-large,26,0.008,NA,NA,3077,0.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_oglethorpe,13221,At-large,24,0.007,NA,NA,3487,0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_pulaski,13235,At-large,36,0.039,NA,NA,882,0.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_putnam,13237,At-large,26,0.007,NA,NA,3694,0.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.001,county
meae.congressional.congress12.ga.county,gas_jasper,13243,At-large,40,0.011,NA,NA,3595,0.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_richmond,13245,At-large,136,0.1,NA,NA,1218,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_screven,13251,At-large,116,0.111,NA,NA,927,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_tattnall,13267,At-large,5,0.007,NA,NA,694,0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_telfair,13271,At-large,46,0.105,NA,NA,392,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_twiggs,13289,At-large,17,0.01,NA,NA,1638,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_warren,13301,At-large,28,0.01,NA,NA,2857,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,county
meae.congressional.congress12.ga.county,gas_washington,13303,At-large,360,0.104,NA,NA,3090,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,county
meae.congressional.congress12.ga.county,gas_wayne,13305,At-large,NA,NA,NA,NA,312,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_wilkes,13317,At-large,180,0.044,NA,NA,3909,0.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress12.ga.county,gas_wilkinson,13319,At-large,185,0.119,NA,NA,1366,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
