meae_id,county_ahcb,county_fips,districts,federalist_vote,federalist_percentage,antifederalist_vote,antifederalist_percentage,demrep_vote,demrep_percentage,chesapeake_vote,chesapeake_percentage,potomac_vote,potomac_percentage,repfac_vote,repfac_percentage,adamsclay_vote,adamsclay_percentage,jacksonian_vote,jacksonian_percentage,anticaucus_vote,anticaucus_percentage,caucus_vote,caucus_percentage,other_vote,other_percentage,county_source
meae.congressional.congress19.la.county,city_neworleans,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928,1,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_ascension,22005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_assumption,22007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_avoyelles,22009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,0.376,NA,NA,NA,NA,NA,NA,88,0.624,county
meae.congressional.congress19.la.county,las_catahoula,22025,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,0.375,NA,NA,NA,NA,NA,NA,65,0.625,county
meae.congressional.congress19.la.county,las_concordia,22029,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_eastbatonrouge,22033,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,1,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_eastfeliciana,22037,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_iberville,22047,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,1,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_lafayette,22055,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,0.744,NA,NA,NA,NA,NA,NA,79,0.256,county
meae.congressional.congress19.la.county,las_lafourche,22057,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_natchitoches,22069,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,0.467,NA,NA,NA,NA,NA,NA,97,0.533,county
meae.congressional.congress19.la.county,las_orleans,22071,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_ouachita,22073,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_plaquemines,22075,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,0.971,NA,NA,NA,NA,3,0.019,county
meae.congressional.congress19.la.county,las_pointecoupee,22077,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,1,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_rapides,22079,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,0.41,NA,NA,NA,NA,NA,NA,174,0.59,county
meae.congressional.congress19.la.county,las_stbernard,22087,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,0.88,NA,NA,NA,NA,17,0.12,county
meae.congressional.congress19.la.county,las_stcharles,22089,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_sthelena,22091,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469,1,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_stjames,22093,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_stjohnbaptist,22095,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_stlandry,22097,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,0.71,NA,NA,NA,NA,NA,NA,117,0.29,county
meae.congressional.congress19.la.county,las_stmartin,22099,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,0.737,NA,NA,NA,NA,NA,NA,65,0.263,county
meae.congressional.congress19.la.county,las_stmary,22101,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,0.769,NA,NA,NA,NA,NA,NA,36,0.231,county
meae.congressional.congress19.la.county,las_sttammany,22103,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,1,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_terrebonne,22109,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_westbatonrouge,22121,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,1,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress19.la.county,las_westfeliciana,22125,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,0.978,NA,NA,NA,NA,NA,NA,5,0.022,county
meae.congressional.congress19.la.county,olt_germancoastcnty,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
