meae_id,county_ahcb,county_fips,districts,federalist_vote,federalist_percentage,antifederalist_vote,antifederalist_percentage,demrep_vote,demrep_percentage,chesapeake_vote,chesapeake_percentage,potomac_vote,potomac_percentage,repfac_vote,repfac_percentage,adamsclay_vote,adamsclay_percentage,jacksonian_vote,jacksonian_percentage,anticaucus_vote,anticaucus_percentage,caucus_vote,caucus_percentage,other_vote,other_percentage,county_source
meae.congressional.congress01.nj.county,njs_bergen,34003,At-large,1290,0.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,0.088,county
meae.congressional.congress01.nj.county,njs_burlington,34005,At-large,11102,0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0.002,county
meae.congressional.congress01.nj.county,njs_capemay,34009,At-large,3800,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,county
meae.congressional.congress01.nj.county,njs_essex,34013,At-large,7905,0.705,248,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3055,0.273,county
meae.congressional.congress01.nj.county,njs_gloucester,34015,At-large,13080,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,county
meae.congressional.congress01.nj.county,njs_hunterdon,34019,At-large,2656,0.478,247,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2656,0.478,county
meae.congressional.congress01.nj.county,njs_middlesex,34023,At-large,2352,0.654,446,0.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798,0.222,county
meae.congressional.congress01.nj.county,njs_monmouth,34025,At-large,1938,0.766,142,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,0.178,county
meae.congressional.congress01.nj.county,njs_morris,34027,At-large,3612,0.632,529,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1575,0.276,county
meae.congressional.congress01.nj.county,njs_salem,34033,At-large,2585,0.787,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,0.213,county
meae.congressional.congress01.nj.county,njs_somerset,34035,At-large,2790,0.718,26,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070,0.275,county
meae.congressional.congress01.nj.county,njs_sussex,34037,At-large,2211,0.501,86,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2114,0.479,county
