town,state,lat,lon
Branford,Connecticut,41.278796,-72.813184
Bridgeport,Connecticut,41.1873858,-73.1957339
Bristol,Connecticut,41.6815776,-72.9407487
Cheshire,Connecticut,41.5116882324218,-72.89910889
Colchester,Connecticut,41.57592011,-72.33102417
Danbury,Connecticut,41.4018389,-73.4722848
Derby,Connecticut,41.3261714,-73.0825695
East Hartford,Connecticut,41.761457,-72.615477
East Haven,Connecticut,41.2777595520019,-72.8713913
Enfield,Connecticut,41.9983482360839,-72.57436371
Fairfield,Connecticut,41.1658096313476,-73.22962189
Farmington,Connecticut,41.7121200561523,-72.83856964
Glastenbury,Connecticut,41.7123413085937,-72.60494995
Greenwich,Connecticut,41.038889,-73.613611
Groton,Connecticut,41.3250543,-72.0668616
Guilford,Connecticut,41.2842407226562,-72.68141937
Hamden,Connecticut,41.3839683532714,-72.90170288
Hartford,Connecticut,41.7660453,-72.6833394
Mansfield,Connecticut,41.7648696899414,-72.19803619
Meriden,Connecticut,41.5367771,-72.7945433
Middletown,Connecticut,41.5495338,-72.6577193
Milford,Connecticut,41.2226917,-73.0636408
New Haven,Connecticut,41.3108088,-72.924953
New London,Connecticut,41.356795,-72.099338
New Milford,Connecticut,41.578140258789,-73.41332245
Newtown,Connecticut,41.411880493164,-73.30766296
North Haven,Connecticut,41.3922805786132,-72.85878754
Norwalk,Connecticut,41.0927388,-73.4197955
Norwich,Connecticut,41.5478603,-72.089488
Ridgefield,Connecticut,41.2840881347656,-73.49861908
Simsbury,Connecticut,41.87984085083,-72.8001709
Southington,Connecticut,41.611926,-72.879925
Stafford,Connecticut,41.0798566,-73.5460279
Stamford,Connecticut,41.0798566,-73.5460279
Stratford,Connecticut,41.201596,-73.134226
Torrington,Connecticut,41.8342549,-73.1315201
Trumbull,Connecticut,41.2349510192871,-73.21967316
Vernon,Connecticut,41.8675308227539,-72.44805908
Wallingford,Connecticut,41.448297,-72.821162
Waterbury,Connecticut,41.5585001,-73.0366845
Watertown,Connecticut,41.6048698425293,-73.11940002
Wethersfield,Connecticut,41.7104682922363,-72.66162109
Windham,Connecticut,41.6999397277832,-72.15505981
Windsor,Connecticut,41.851749420166,-72.64350891
Ashford,Connecticut,41.86649282301993,-72.159576416015625
Barkhamstead,Connecticut,41.9292629,-72.9139904
Berlin,Connecticut,41.621488,-72.7456519
Bethlehem,Connecticut,41.640378,-73.2057595
Bolton,Connecticut,41.7689878,-72.4334173
Bozra,Connecticut,41.5604427,-72.16359589999999
Brookfield,Connecticut,41.4825947,-73.4095652
Brooklyn,Connecticut,41.7881236,-71.9497216
Burlington,Connecticut,41.7691235,-72.9648388
Canaan,Connecticut,41.9640877,-73.3001233
Canterbury,Connecticut,41.6984319,-71.9709075
Canton,Connecticut,41.8247572,-72.8956177
Chatham,Connecticut,41.5757748,-72.5026249
Colbrook,Connecticut,41.991407100000004,-73.0956765
Colebrook,Connecticut,41.991407100000004,-73.0956765
Columbia,Connecticut,41.7020432,-72.30119169999999
Cornwall,Connecticut,41.8437058,-73.3292848
Coventry,Connecticut,41.78468,-72.3393021
Durham,Connecticut,41.4817822,-72.6812582
East Haddam,Connecticut,41.5034351,-72.4757767
East Windsor,Connecticut,41.92424883732577,-72.60074615478516
Ellington,Connecticut,41.91728260000001,-72.458236
Franklin,Connecticut,41.6090041,-72.145997499999993
Goshen,Connecticut,41.8315187,-73.2248946
Granby,Connecticut,41.9540614,-72.7887705
Griswold,Connecticut,41.5961439,-71.9282781
Haddam,Connecticut,41.4771433,-72.5122763
Hampton,Connecticut,41.7839873,-72.0547977
Hartland,Connecticut,41.996206,-72.9795488
Harwinton,Connecticut,41.7712762,-73.0598438
Hebron,Connecticut,41.6578767,-72.36591609999999
Huntingdon,Connecticut,41.3164856,-73.0931641
Huntington,Connecticut,41.2964854,-73.14622200000001
Kent,Connecticut,41.7247554,-73.47696429999999
Killingly,Connecticut,41.8122401,-71.8334145
Killingworth,Connecticut,41.3581869,-72.5645602
Lebanon,Connecticut,41.636391,-72.21272549999999
Lisbon,Connecticut,41.5998861,-72.01125979999999
Litchfield,Connecticut,41.7472642,-73.1887165
Lyme,Connecticut,41.40081199999999,-72.3429525
Marlborough,Connecticut,41.6314378,-72.459634
Middlebury,Connecticut,41.5278742,-73.12761069999999
Montville,Connecticut,41.4639922,-72.1556189
New Canaan,Connecticut,41.146763,-73.4948445
New Fairfield,Connecticut,41.4660993,-73.48564610000001
New Hartford,Connecticut,41.87932139999999,-72.97516929999999
Norfolk,Connecticut,41.9939828,-73.2020577
North Stonington,Connecticut,41.4409323,-71.8811827
Oxford,Connecticut,41.4338203,-73.1168393
Plainfield,Connecticut,41.6764876,-71.91507299999999
Plymouth,Connecticut,41.6720418,-73.0528853
Pomfret,Connecticut,41.8975977,-71.9625736
Preston,Connecticut,41.5224785,-72.01125979999999
Reading,Connecticut,41.30453989999999,-73.392898
Roxbury,Connecticut,41.5564843,-73.3087285
Salisbury,Connecticut,41.983426,-73.4212318
Saybrook,Connecticut,41.2960159,-72.38453009999999
Sharon,Connecticut,41.8793754,-73.4768697
Sherman,Connecticut,41.5786417,-73.497418
Somers,Connecticut,41.9851929,-72.44607979999999
Southbury,Connecticut,41.4793072,-73.2133715
Sterling,Connecticut,41.7073744,-71.8290112
Stonington,Connecticut,41.3358915,-71.9058854
Suffield,Connecticut,41.98501507352482,-72.66460418701172
Thompson,Connecticut,41.9840732,-71.8792264
Tolland,Connecticut,41.8714865,-72.3686931
Union,Connecticut,41.9909296,-72.1572992
Voluntown,Connecticut,41.5725461,-71.8683346
Warren,Connecticut,41.7428733,-73.3487303
Washington,Connecticut,41.630267,-73.3107223
Waterford,Connecticut,41.3542395,-72.164816
Weston,Connecticut,41.2009294,-73.3806748
Willington,Connecticut,41.8809434,-72.2600655
Wilton,Connecticut,41.1953739,-73.4378988
Winchester,Connecticut,41.9357632,-73.111356
Wolcott,Connecticut,41.6023196,-72.9867718
Woodbridge,Connecticut,41.352597,-73.0084385
Woodbury,Connecticut,41.5445404,-73.2090025
Woodstock,Connecticut,41.9484307,-71.9739625
