town,state,lat,lon
Acton,Massachusetts,42.4850931,-71.43284
Alford,Massachusetts,42.2356442,-73.4134456
Arundel,Massachusetts,43.4422009835631,-70.5332565307617
Ashburnham,Massachusetts,42.635545,-71.9097394
Ashby,Massachusetts,42.6772767,-71.8187139
Ashfield,Massachusetts,42.5264745,-72.788426
Attleborough,Massachusetts,41.9462769083483,-71.295690536499
Bangor,Massachusetts,44.8354216136376,-68.8101196289063
Barnardston,Massachusetts,42.6710048,-72.5483277
Barre,Massachusetts,42.4229047,-72.1051002
Becket,Massachusetts,42.3319904,-73.0829366
Belchertown,Massachusetts,42.2770346,-72.4008884
Belfast,Massachusetts,42.54648,-71.00822
Bellingham,Massachusetts,42.0867608,-71.4745881
Berkeley,Massachusetts,41.8459347,-71.0828222
Berkley,Massachusetts,41.8459347,-71.0828222
Berlin,Massachusetts,42.3812039,-71.6370121
Bernardston,Massachusetts,42.6710048,-72.5483277
Bethlehem,Massachusetts,42.1957144244807,-73.084831237793
Billingham,Massachusetts,42.0867608,-71.4745881
Blandford,Massachusetts,42.1806463,-72.9273224
Blanford,Massachusetts,42.1806463,-72.9273224
Boxborough,Massachusetts,42.4834197,-71.5167139
Boxford,Massachusetts,42.6611604,-70.996726
Boylston,Massachusetts,42.3889953,-71.6908142
Bradford,Massachusetts,42.7695348,-71.0758905
Brewer,Massachusetts,42.3348549,-71.6612731
Brewster,Massachusetts,41.7600902,-70.0827905
Brighton,Massachusetts,42.3463503,-71.1626756
Brimfield,Massachusetts,42.1225482,-72.2005059
Brookfield,Massachusetts,42.2139817,-72.1022991
Brooksfield,Massachusetts,42.2139817,-72.1022991
Buckland,Massachusetts,42.592307,-72.7917601
Burlington,Massachusetts,42.5047161,-71.1956205
Carlisle,Massachusetts,42.5292597,-71.3495046
Carver,Massachusetts,41.8834363,-70.7625376
Charlemont,Massachusetts,42.627862,-72.8698183
Charlton,Massachusetts,42.13565,-71.970074
Chatham,Massachusetts,41.6820897,-69.9597664
Cheshire,Massachusetts,42.5620278,-73.162881
Chesire,Massachusetts,42.5620278,-73.162881
Chester,Massachusetts,42.2792551,-72.978712
Chesterfield,Massachusetts,42.3917541,-72.8398172
Chilmark,Massachusetts,41.3431688,-70.7447501
Clarksburg,Massachusetts,42.7170314,-73.092685
Clarksburgh,Massachusetts,42.7170314,-73.092685
Cohasset,Massachusetts,42.2417675,-70.8036544
